stress_axis,stress_level,mean_proposed_utility,ci95_proposed_utility,mean_old_v4_utility,ci95_old_v4_utility,mean_utility_margin,ci95_utility_margin,mean_proposed_success,ci95_proposed_success,mean_old_v4_success,ci95_old_v4_success,mean_success_margin,ci95_success_margin,groups,episodes_per_cell
budget_pressure,0,0.68087521,0.01001543,0.51445107,0.01521119,0.16642414,0.02243715,0.72437500,0.00994729,0.64791667,0.01413198,0.07645833,0.02131389,10,96
budget_pressure,1,0.67600800,0.01155883,0.50892273,0.01276456,0.16708527,0.02027122,0.72395833,0.01091014,0.64750000,0.01162615,0.07645833,0.01868295,10,96
budget_pressure,2,0.65022807,0.02027080,0.47900049,0.01755799,0.17122758,0.02331691,0.70395833,0.01856757,0.62458333,0.01674554,0.07937500,0.02164509,10,96
budget_pressure,3,0.63353245,0.01288671,0.45905736,0.01079356,0.17447509,0.01829047,0.69229167,0.01232614,0.61020833,0.00997333,0.08208333,0.01736897,10,96
budget_pressure,4,0.62987191,0.01276239,0.42731386,0.01265938,0.20255805,0.01632919,0.69291667,0.01142361,0.58520833,0.01191963,0.10770833,0.01550771,10,96
budget_pressure,5,0.60499150,0.01062121,0.42005677,0.02130082,0.18493472,0.02406462,0.67354167,0.00972123,0.58291667,0.01965663,0.09062500,0.02267180,10,96
budget_pressure,6,0.60327603,0.01461918,0.39572841,0.01180466,0.20754762,0.01463147,0.67583333,0.01389667,0.56479167,0.01109869,0.11104167,0.01394790,10,96
budget_pressure,7,0.58919772,0.02140076,0.38278894,0.02230702,0.20640878,0.03140329,0.66625000,0.02001157,0.55687500,0.02127909,0.10937500,0.02949092,10,96
budget_pressure,8,0.56453173,0.01598717,0.35907249,0.01768176,0.20545923,0.02525738,0.64708333,0.01501177,0.53916667,0.01672340,0.10791667,0.02342377,10,96
budget_pressure,9,0.55109074,0.01609761,0.33545340,0.01852616,0.21563734,0.02477924,0.63875000,0.01502410,0.52166667,0.01741159,0.11708333,0.02346328,10,96
compound_shift,0,0.71392112,0.01461343,0.57258028,0.01304464,0.14134084,0.01904733,0.74791667,0.01332221,0.69604167,0.01255547,0.05187500,0.01768868,10,96
compound_shift,1,0.70114422,0.01598276,0.54731384,0.01215514,0.15383037,0.02093583,0.74354167,0.01490339,0.68041667,0.01106107,0.06312500,0.01944103,10,96
