stress_axis,stress_level,mean_proposed_utility,ci95_proposed_utility,mean_old_v4_utility,ci95_old_v4_utility,mean_utility_margin,ci95_utility_margin,mean_proposed_success,ci95_proposed_success,mean_old_v4_success,ci95_old_v4_success,mean_success_margin,ci95_success_margin,groups,episodes_per_cell
compound_shift,2,0.66254424,0.01651151,0.50966304,0.01448531,0.15288120,0.02627910,0.71500000,0.01494498,0.65312500,0.01351892,0.06187500,0.02365398,10,96
compound_shift,3,0.64344804,0.01031779,0.46569296,0.01896177,0.17775507,0.02523936,0.70458333,0.00962066,0.61958333,0.01747531,0.08500000,0.02300882,10,96
compound_shift,4,0.60922053,0.01691996,0.41982919,0.01437766,0.18939134,0.02377567,0.68000000,0.01592209,0.58458333,0.01321330,0.09541667,0.02245462,10,96
compound_shift,5,0.57838160,0.01207359,0.38645354,0.01196155,0.19192806,0.01000990,0.65895833,0.01143738,0.56145833,0.01114533,0.09750000,0.00983020,10,96
compound_shift,6,0.55145234,0.01060083,0.35459956,0.01454805,0.19685278,0.02114947,0.64125000,0.00950442,0.53958333,0.01393395,0.10166667,0.01976941,10,96
compound_shift,7,0.51994736,0.01447914,0.30109996,0.00999382,0.21884739,0.00861662,0.61937500,0.01359817,0.49729167,0.00950929,0.12208333,0.00880419,10,96
compound_shift,8,0.48706068,0.01727122,0.26377346,0.01523936,0.22328723,0.02021728,0.59604167,0.01598306,0.47062500,0.01403265,0.12541667,0.01861092,10,96
compound_shift,9,0.46592210,0.01220788,0.22755617,0.01027714,0.23836593,0.01998353,0.58375000,0.01112120,0.44479167,0.00970597,0.13895833,0.01838306,10,96
mechanism_hiddenness,0,0.66151237,0.01649141,0.50028569,0.01138624,0.16122667,0.02078573,0.70791667,0.01554053,0.63729167,0.01056857,0.07062500,0.01944484,10,96
mechanism_hiddenness,1,0.64697854,0.01107161,0.47404606,0.00851612,0.17293248,0.01448339,0.69770833,0.01051585,0.61625000,0.00779050,0.08145833,0.01353536,10,96
mechanism_hiddenness,2,0.64093939,0.01307030,0.45525581,0.01600130,0.18568358,0.01910921,0.69562500,0.01249630,0.60250000,0.01521525,0.09312500,0.01863331,10,96
mechanism_hiddenness,3,0.62227138,0.01880238,0.45281450,0.01704535,0.16945688,0.02726043,0.68208333,0.01754936,0.60416667,0.01564982,0.07791667,0.02518019,10,96
mechanism_hiddenness,4,0.61532088,0.02305126,0.43501204,0.01770407,0.18030885,0.03706267,0.67895833,0.02134342,0.59145833,0.01639503,0.08750000,0.03412564,10,96
mechanism_hiddenness,5,0.61694294,0.01617421,0.42448924,0.01590619,0.19245369,0.02290865,0.68354167,0.01490339,0.58520833,0.01491582,0.09833333,0.02126820,10,96
mechanism_hiddenness,6,0.60723532,0.01642301,0.41851220,0.01542120,0.18872312,0.02459193,0.67791667,0.01498706,0.58375000,0.01479547,0.09416667,0.02310524,10,96
mechanism_hiddenness,7,0.58454642,0.00938915,0.39320853,0.01303405,0.19133790,0.01160251,0.66000000,0.00883779,0.56395833,0.01189786,0.09604167,0.01051585,10,96
mechanism_hiddenness,8,0.57659502,0.01176270,0.37919393,0.01232386,0.19740109,0.01932943,0.65604167,0.01119840,0.55520833,0.01169685,0.10083333,0.01829366,10,96
mechanism_hiddenness,9,0.55594172,0.01512433,0.38713098,0.01521607,0.16881074,0.01852318,0.64000000,0.01450462,0.56625000,0.01398438,0.07375000,0.01719747,10,96
operator_bias,0,0.69476030,0.00832309,0.54344125,0.01324184,0.15131905,0.01121906,0.73312500,0.00749106,0.67145833,0.01220530,0.06166667,0.01031575,10,96
operator_bias,1,0.67196970,0.01063197,0.51865961,0.01839804,0.15331009,0.02144127,0.71666667,0.00992772,0.65333333,0.01711107,0.06333333,0.01996894,10,96
operator_bias,2,0.65400214,0.01505771,0.49435028,0.01344582,0.15965187,0.01687347,0.70458333,0.01402407,0.63583333,0.01250149,0.06875000,0.01554291,10,96
operator_bias,3,0.63210823,0.01094935,0.47079645,0.01987556,0.16131179,0.02185976,0.68916667,0.01001689,0.61895833,0.01845749,0.07020833,0.02025313,10,96
operator_bias,4,0.63951688,0.01584091,0.43547058,0.01724389,0.20404630,0.02584406,0.70062500,0.01455880,0.59104167,0.01635657,0.10958333,0.02427361,10,96
operator_bias,5,0.59184816,0.01130440,0.39191972,0.01935537,0.19992844,0.01241211,0.66104167,0.01070097,0.55562500,0.01827187,0.10541667,0.01188461,10,96
operator_bias,6,0.57148935,0.02036741,0.38402937,0.01443566,0.18745998,0.01957933,0.64666667,0.01883258,0.55354167,0.01326717,0.09312500,0.01821093,10,96
operator_bias,7,0.55731083,0.01247095,0.33739216,0.02329508,0.21991867,0.02887959,0.63854167,0.01204026,0.51500000,0.02169083,0.12354167,0.02723617,10,96
operator_bias,8,0.55174194,0.00907411,0.31465335,0.01720242,0.23708859,0.01801879,0.63791667,0.00853928,0.49895833,0.01567643,0.13895833,0.01643566,10,96
operator_bias,9,0.53394198,0.01709208,0.29330406,0.01281530,0.24063792,0.01166413,0.62583333,0.01585212,0.48416667,0.01197778,0.14166667,0.01087186,10,96
spurious_strength,0,0.64895434,0.01153729,0.49147703,0.01381548,0.15747731,0.02013106,0.69666667,0.01082404,0.62875000,0.01285223,0.06791667,0.01857505,10,96
spurious_strength,1,0.65876474,0.01435897,0.47331167,0.01312368,0.18545307,0.02035856,0.70979167,0.01365256,0.61583333,0.01175924,0.09395833,0.01867700,10,96
spurious_strength,2,0.64518595,0.01073266,0.46799690,0.01491285,0.17718906,0.02245151,0.70062500,0.01027706,0.61479167,0.01408536,0.08583333,0.02141578,10,96
spurious_strength,3,0.61743074,0.01223765,0.43474533,0.01389776,0.18268540,0.01288648,0.67833333,0.01168021,0.58750000,0.01292697,0.09083333,0.01249260,10,96
spurious_strength,4,0.61403734,0.01437381,0.42479764,0.00884303,0.18923970,0.01299184,0.67854167,0.01347500,0.58229167,0.00826252,0.09625000,0.01190953,10,96
spurious_strength,5,0.61195772,0.01634168,0.39251479,0.01255434,0.21944293,0.01437112,0.68020833,0.01513529,0.55645833,0.01201253,0.12375000,0.01332499,10,96
spurious_strength,6,0.59572753,0.01543130,0.38781915,0.01878420,0.20790838,0.02418502,0.66854167,0.01453843,0.55625000,0.01781964,0.11229167,0.02294149,10,96
spurious_strength,7,0.56053809,0.00902415,0.35645697,0.01687015,0.20408112,0.02262506,0.63916667,0.00822994,0.53125000,0.01593140,0.10791667,0.02112837,10,96
spurious_strength,8,0.57122756,0.00936867,0.34814028,0.01065371,0.22308728,0.01237362,0.65291667,0.00911436,0.52750000,0.01036234,0.12541667,0.01244207,10,96
spurious_strength,9,0.54202835,0.01240703,0.33669490,0.01593982,0.20533345,0.01767918,0.62916667,0.01180327,0.52125000,0.01492016,0.10791667,0.01698719,10,96
tail_rarity,0,0.65358067,0.01200642,0.48206424,0.01611432,0.17151644,0.01867300,0.70062500,0.01090674,0.62000000,0.01508563,0.08062500,0.01768450,10,96
tail_rarity,1,0.65242966,0.01895099,0.47202120,0.01918762,0.18040846,0.02748253,0.70375000,0.01768188,0.61520833,0.01714190,0.08854167,0.02544404,10,96
tail_rarity,2,0.63031050,0.01226748,0.46331800,0.01379767,0.16699250,0.02030633,0.68687500,0.01188227,0.61145833,0.01216273,0.07541667,0.01874977,10,96
tail_rarity,3,0.63963017,0.01023258,0.45662714,0.01332747,0.18300303,0.01349620,0.69958333,0.00948490,0.60958333,0.01213146,0.09000000,0.01279444,10,96
tail_rarity,4,0.62141167,0.01601211,0.43226971,0.01737274,0.18914197,0.02065951,0.68666667,0.01468739,0.59083333,0.01618750,0.09583333,0.01984610,10,96
tail_rarity,5,0.62574350,0.01657315,0.41903978,0.01773879,0.20670372,0.01351412,0.69500000,0.01547362,0.58312500,0.01669734,0.11187500,0.01314089,10,96
tail_rarity,6,0.59077853,0.00868706,0.41431767,0.01495996,0.17646085,0.01566318,0.66625000,0.00809375,0.58333333,0.01392065,0.08291667,0.01482049,10,96
tail_rarity,7,0.59419269,0.01220098,0.39737726,0.01462445,0.19681543,0.02076169,0.67375000,0.01164844,0.57187500,0.01369592,0.10187500,0.01973799,10,96
tail_rarity,8,0.57785286,0.01809770,0.39283390,0.01571202,0.18501896,0.02844610,0.66291667,0.01663454,0.57208333,0.01473776,0.09083333,0.02651338,10,96
tail_rarity,9,0.56727426,0.01224832,0.38382456,0.01406274,0.18344970,0.02359431,0.65708333,0.01087527,0.56833333,0.01393129,0.08875000,0.02258952,10,96
