method,split,seed,mean_success_rate,ci95_success_rate,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
diversity_coreset_selection,combined_stress,4,0.465986,0.021879,0.449253,0.004668,0.377648,0.004996,0.162279,0.002579,0.096589,0.000847,0.202649,0.001192,0.126351,0.001260,35,84
diversity_coreset_selection,combined_stress,5,0.459524,0.024523,0.449665,0.004884,0.377625,0.004880,0.162441,0.002806,0.096704,0.000931,0.202455,0.001248,0.125867,0.001317,35,84
diversity_coreset_selection,combined_stress,6,0.450340,0.023751,0.449620,0.004881,0.377260,0.004627,0.162891,0.002697,0.097108,0.000831,0.202516,0.001033,0.125834,0.001391,35,84
diversity_coreset_selection,heldout_mechanism,0,0.502041,0.020638,0.455005,0.005178,0.359778,0.004794,0.154382,0.002663,0.094115,0.001041,0.197128,0.001266,0.119964,0.001211,35,84
diversity_coreset_selection,heldout_mechanism,1,0.510884,0.025495,0.455433,0.005002,0.359767,0.004723,0.154551,0.002701,0.094390,0.001138,0.197017,0.001088,0.120402,0.001216,35,84
diversity_coreset_selection,heldout_mechanism,2,0.497279,0.024743,0.455861,0.005093,0.359757,0.005010,0.154707,0.002776,0.094428,0.001000,0.197587,0.001088,0.120612,0.001265,35,84
diversity_coreset_selection,heldout_mechanism,3,0.494898,0.019090,0.454916,0.004881,0.360090,0.004986,0.154777,0.002477,0.094934,0.000968,0.198046,0.001067,0.120827,0.001325,35,84
diversity_coreset_selection,heldout_mechanism,4,0.506803,0.024015,0.455344,0.004793,0.359737,0.004931,0.154832,0.002636,0.094672,0.001085,0.197447,0.000964,0.121031,0.001336,35,84
diversity_coreset_selection,heldout_mechanism,5,0.487075,0.023979,0.456230,0.004796,0.359727,0.005134,0.155857,0.002591,0.094885,0.001058,0.197850,0.000919,0.121241,0.001353,35,84
diversity_coreset_selection,heldout_mechanism,6,0.491156,0.023183,0.456200,0.005015,0.359717,0.004886,0.155483,0.002322,0.094765,0.000960,0.198015,0.000915,0.120765,0.001352,35,84
diversity_coreset_selection,heldout_object,0,0.510204,0.021690,0.458873,0.005147,0.351570,0.005130,0.152082,0.002278,0.093718,0.000904,0.195697,0.000961,0.117848,0.001287,35,84
diversity_coreset_selection,heldout_object,1,0.497279,0.027791,0.459277,0.005070,0.350169,0.005262,0.152572,0.002511,0.093931,0.000911,0.195563,0.001146,0.118253,0.001291,35,84
diversity_coreset_selection,heldout_object,2,0.489116,0.020323,0.459681,0.005007,0.349798,0.004825,0.152987,0.002312,0.094308,0.000846,0.196068,0.001032,0.117758,0.001280,35,84
diversity_coreset_selection,heldout_object,3,0.509864,0.020460,0.460085,0.004766,0.349770,0.004977,0.151871,0.002412,0.094255,0.000931,0.196054,0.001027,0.117727,0.001088,35,84
diversity_coreset_selection,heldout_object,4,0.510544,0.020422,0.459116,0.004676,0.349399,0.004663,0.152249,0.002475,0.094225,0.000878,0.196241,0.001172,0.117233,0.001158,35,84
diversity_coreset_selection,heldout_object,5,0.518027,0.023065,0.459520,0.004607,0.349028,0.004640,0.152194,0.002511,0.094489,0.000906,0.196589,0.001185,0.117425,0.001205,35,84
diversity_coreset_selection,heldout_object,6,0.515646,0.019668,0.458552,0.004778,0.349686,0.004644,0.152502,0.002555,0.094094,0.001006,0.196121,0.001296,0.117862,0.001205,35,84
diversity_coreset_selection,small_budget,0,0.531973,0.019030,0.461830,0.004475,0.341091,0.005171,0.148732,0.002325,0.093916,0.001114,0.193058,0.001359,0.115058,0.001061,35,84
diversity_coreset_selection,small_budget,1,0.512925,0.018996,0.461304,0.004644,0.341394,0.005094,0.148823,0.002519,0.093821,0.001248,0.192977,0.001245,0.115025,0.001194,35,84
diversity_coreset_selection,small_budget,2,0.535714,0.021771,0.460319,0.005079,0.341011,0.005023,0.148300,0.002700,0.093286,0.001225,0.192707,0.001243,0.114980,0.001094,35,84
diversity_coreset_selection,small_budget,3,0.536395,0.019202,0.461165,0.005082,0.340971,0.005039,0.147777,0.002669,0.092976,0.001142,0.192886,0.001086,0.114940,0.001183,35,84
diversity_coreset_selection,small_budget,4,0.540476,0.021754,0.461095,0.005081,0.340588,0.004944,0.147816,0.002718,0.091705,0.000970,0.192802,0.000973,0.114895,0.001129,35,84
diversity_coreset_selection,small_budget,5,0.537075,0.023948,0.461940,0.005085,0.341234,0.004947,0.147917,0.002534,0.092224,0.000821,0.193251,0.000978,0.114867,0.001258,35,84
diversity_coreset_selection,small_budget,6,0.538095,0.019103,0.461871,0.005175,0.341880,0.004950,0.147886,0.002306,0.092190,0.000896,0.193427,0.001042,0.115296,0.001262,35,84
failure_mining_selection,clean_budget,0,0.579592,0.020489,0.489296,0.004450,0.297578,0.004551,0.128869,0.002103,0.083997,0.000827,0.224251,0.000946,0.104862,0.001137,35,84
failure_mining_selection,clean_budget,1,0.585374,0.024152,0.490118,0.004453,0.297863,0.004473,0.128659,0.002488,0.084061,0.000921,0.224595,0.001026,0.104587,0.001320,35,84
failure_mining_selection,clean_budget,2,0.580612,0.026093,0.489567,0.004555,0.298147,0.004440,0.129224,0.002537,0.084382,0.001087,0.224588,0.001252,0.104541,0.001378,35,84
failure_mining_selection,clean_budget,3,0.585034,0.018870,0.490388,0.004558,0.298089,0.004607,0.129490,0.002387,0.084489,0.000911,0.224489,0.001276,0.104947,0.001385,35,84
failure_mining_selection,clean_budget,4,0.580952,0.023930,0.489837,0.004588,0.298374,0.004805,0.129576,0.002701,0.084768,0.000946,0.224475,0.001368,0.104672,0.001339,35,84
failure_mining_selection,clean_budget,5,0.571429,0.023895,0.490201,0.004581,0.297630,0.004841,0.129987,0.002767,0.084910,0.001034,0.224287,0.001178,0.104152,0.001267,35,84
failure_mining_selection,clean_budget,6,0.598299,0.022563,0.490565,0.004695,0.297229,0.004565,0.128872,0.002875,0.084703,0.000948,0.223964,0.001201,0.104095,0.001207,35,84
failure_mining_selection,combined_stress,0,0.506122,0.025922,0.468450,0.005031,0.341397,0.004674,0.145762,0.002923,0.088726,0.001274,0.235291,0.001217,0.118707,0.001173,35,84
failure_mining_selection,combined_stress,1,0.477211,0.021946,0.469296,0.005034,0.342043,0.004678,0.146629,0.002692,0.089115,0.001212,0.235309,0.000975,0.118907,0.001178,35,84
failure_mining_selection,combined_stress,2,0.463946,0.026083,0.469226,0.005030,0.342003,0.004694,0.147210,0.002736,0.088236,0.000896,0.235856,0.000985,0.119096,0.001125,35,84
failure_mining_selection,combined_stress,3,0.483673,0.020938,0.470071,0.005033,0.341620,0.004595,0.146322,0.002387,0.088197,0.000932,0.236073,0.000971,0.119051,0.001250,35,84
failure_mining_selection,combined_stress,4,0.467687,0.024173,0.470002,0.005126,0.342266,0.004598,0.147258,0.002499,0.088561,0.000927,0.235962,0.001205,0.119252,0.001211,35,84
failure_mining_selection,combined_stress,5,0.497279,0.024836,0.470390,0.005019,0.342569,0.004529,0.146804,0.002448,0.088375,0.000880,0.236081,0.001190,0.119446,0.001195,35,84
failure_mining_selection,combined_stress,6,0.491156,0.026080,0.470778,0.004891,0.342872,0.004729,0.147194,0.002596,0.088725,0.000806,0.236099,0.001141,0.119412,0.001300,35,84
failure_mining_selection,heldout_mechanism,0,0.520068,0.020151,0.477982,0.004434,0.325325,0.004359,0.140732,0.002867,0.087218,0.001057,0.231391,0.001269,0.113536,0.001414,35,84
failure_mining_selection,heldout_mechanism,1,0.513605,0.024259,0.478386,0.004732,0.325640,0.004438,0.140682,0.002697,0.087100,0.000995,0.230506,0.001023,0.113281,0.001215,35,84
failure_mining_selection,heldout_mechanism,2,0.511565,0.025335,0.478332,0.004594,0.325612,0.004503,0.140478,0.002765,0.087558,0.001125,0.230721,0.001016,0.113250,0.001258,35,84
failure_mining_selection,heldout_mechanism,3,0.536735,0.020345,0.479194,0.004598,0.325584,0.004425,0.138772,0.002275,0.087153,0.000901,0.230434,0.000983,0.113676,0.001259,35,84
failure_mining_selection,heldout_mechanism,4,0.510884,0.022945,0.477768,0.004604,0.325556,0.004552,0.139740,0.002481,0.088158,0.001096,0.231115,0.001057,0.113645,0.001240,35,84
failure_mining_selection,heldout_mechanism,5,0.518027,0.020790,0.478172,0.004640,0.325871,0.004629,0.139968,0.002363,0.088013,0.001051,0.231238,0.000880,0.113848,0.001138,35,84
failure_mining_selection,heldout_mechanism,6,0.500000,0.019463,0.477661,0.005223,0.326529,0.004633,0.140517,0.002315,0.087945,0.001029,0.231612,0.000845,0.113828,0.001190,35,84
failure_mining_selection,heldout_object,0,0.530952,0.019794,0.480792,0.005029,0.317655,0.004359,0.136941,0.002252,0.087082,0.001045,0.229176,0.001091,0.110900,0.001154,35,84
failure_mining_selection,heldout_object,1,0.526190,0.020038,0.480714,0.004835,0.317952,0.004444,0.137285,0.002303,0.086712,0.001042,0.229634,0.001097,0.110862,0.001280,35,84
failure_mining_selection,heldout_object,2,0.527891,0.023817,0.481094,0.004664,0.318249,0.004442,0.137206,0.002516,0.086417,0.001034,0.229799,0.001067,0.111281,0.001283,35,84
failure_mining_selection,heldout_object,3,0.541497,0.022216,0.481474,0.004675,0.317516,0.004603,0.137161,0.002516,0.086306,0.001007,0.229616,0.001056,0.111227,0.001176,35,84
failure_mining_selection,heldout_object,4,0.545918,0.021605,0.481397,0.004520,0.318156,0.004607,0.137252,0.002473,0.086207,0.001090,0.229525,0.001235,0.111423,0.001159,35,84
failure_mining_selection,heldout_object,5,0.529932,0.022360,0.480862,0.004652,0.317767,0.004612,0.137660,0.002424,0.086956,0.001023,0.229867,0.001255,0.111603,0.001189,35,84
failure_mining_selection,heldout_object,6,0.546259,0.023329,0.480784,0.004658,0.318064,0.004578,0.137371,0.002484,0.086584,0.001009,0.229886,0.001219,0.111565,0.001237,35,84
failure_mining_selection,small_budget,0,0.547959,0.019962,0.485275,0.005128,0.309942,0.004661,0.134448,0.002577,0.085999,0.000971,0.227804,0.001228,0.108688,0.001373,35,84
failure_mining_selection,small_budget,1,0.551020,0.020662,0.484724,0.004945,0.310227,0.004698,0.134548,0.002614,0.085907,0.001056,0.227490,0.001102,0.108413,0.001390,35,84
failure_mining_selection,small_budget,2,0.541497,0.024451,0.484630,0.004807,0.309140,0.004230,0.134709,0.002672,0.086251,0.001161,0.226616,0.001305,0.108802,0.001389,35,84
failure_mining_selection,small_budget,3,0.562585,0.023024,0.484537,0.004840,0.309425,0.004188,0.133811,0.002320,0.085967,0.001135,0.226579,0.001257,0.108070,0.001268,35,84
failure_mining_selection,small_budget,4,0.552041,0.019722,0.483986,0.005092,0.310053,0.004190,0.133427,0.002463,0.085902,0.001034,0.226401,0.001158,0.108029,0.001194,35,84
failure_mining_selection,small_budget,5,0.556463,0.017121,0.483892,0.004874,0.309995,0.004441,0.133236,0.002450,0.085982,0.001072,0.226531,0.001094,0.107978,0.001128,35,84
failure_mining_selection,small_budget,6,0.550000,0.018983,0.483341,0.004964,0.309937,0.004275,0.133371,0.002381,0.086070,0.001051,0.226998,0.001119,0.108383,0.001126,35,84
influence_selection,clean_budget,0,0.625510,0.022603,0.541283,0.005089,0.248241,0.004154,0.107657,0.002344,0.073487,0.000969,0.245478,0.000969,0.084163,0.001346,35,84
influence_selection,clean_budget,1,0.635034,0.018423,0.542064,0.005093,0.248839,0.004157,0.106878,0.002132,0.072976,0.000898,0.245308,0.001066,0.084559,0.001349,35,84
influence_selection,clean_budget,2,0.632313,0.018518,0.541016,0.005464,0.249437,0.004160,0.107152,0.002153,0.072772,0.000934,0.245260,0.001286,0.084040,0.001301,35,84
influence_selection,clean_budget,3,0.647279,0.021773,0.540425,0.005293,0.249006,0.004113,0.106601,0.002419,0.072586,0.001126,0.245493,0.001305,0.084191,0.001286,35,84
influence_selection,clean_budget,4,0.621088,0.019023,0.540749,0.005260,0.248918,0.004151,0.107306,0.002603,0.073083,0.001011,0.245223,0.001385,0.084577,0.001287,35,84
influence_selection,clean_budget,5,0.630272,0.020759,0.540158,0.005186,0.249173,0.004077,0.107430,0.002589,0.072849,0.000969,0.245514,0.001379,0.084281,0.001300,35,84
influence_selection,clean_budget,6,0.640816,0.018951,0.539567,0.004951,0.249428,0.004273,0.106826,0.002559,0.072315,0.001008,0.244876,0.001301,0.083986,0.001313,35,84
influence_selection,combined_stress,0,0.550000,0.024139,0.521170,0.004712,0.284626,0.004169,0.123808,0.002533,0.075803,0.000997,0.256905,0.001082,0.097568,0.001056,35,84
influence_selection,combined_stress,1,0.543197,0.024854,0.521518,0.004916,0.284899,0.004358,0.124196,0.002308,0.076374,0.000997,0.257368,0.001042,0.097743,0.001042,35,84
influence_selection,combined_stress,2,0.551361,0.028534,0.521866,0.004848,0.284486,0.004157,0.124319,0.002493,0.076149,0.000787,0.257223,0.001054,0.098135,0.001038,35,84
influence_selection,combined_stress,3,0.547619,0.021023,0.522671,0.004852,0.284073,0.003861,0.124342,0.002397,0.076385,0.000698,0.257427,0.000977,0.098069,0.001261,35,84
influence_selection,combined_stress,4,0.545918,0.019561,0.523019,0.004607,0.283317,0.003902,0.124281,0.002336,0.076334,0.000796,0.257610,0.001100,0.098227,0.001284,35,84
influence_selection,combined_stress,5,0.544218,0.019803,0.522910,0.004329,0.283590,0.003715,0.124515,0.002327,0.076794,0.000854,0.257793,0.001210,0.097716,0.001315,35,84
influence_selection,combined_stress,6,0.545238,0.020667,0.523257,0.004598,0.283520,0.003682,0.124646,0.002457,0.077182,0.000826,0.258177,0.001197,0.098113,0.001318,35,84
influence_selection,heldout_mechanism,0,0.577551,0.021139,0.527853,0.005057,0.271126,0.003849,0.117341,0.002495,0.074889,0.001046,0.252588,0.000910,0.092844,0.001128,35,84
influence_selection,heldout_mechanism,1,0.586735,0.027268,0.527759,0.004813,0.271068,0.003757,0.117464,0.002612,0.074207,0.001158,0.252670,0.000895,0.093021,0.001113,35,84
influence_selection,heldout_mechanism,2,0.564966,0.020635,0.528581,0.004815,0.271010,0.003995,0.118059,0.002251,0.074858,0.001013,0.253062,0.000894,0.092969,0.001187,35,84
influence_selection,heldout_mechanism,3,0.565986,0.018851,0.528487,0.004421,0.271295,0.003919,0.118450,0.002246,0.074595,0.000798,0.253226,0.001005,0.093151,0.001147,35,84
influence_selection,heldout_mechanism,4,0.584694,0.026263,0.529308,0.004424,0.271580,0.003887,0.117852,0.002307,0.074606,0.000901,0.253441,0.001031,0.092877,0.001323,35,84
influence_selection,heldout_mechanism,5,0.563946,0.021689,0.528758,0.004528,0.271865,0.003970,0.118667,0.002397,0.075033,0.000948,0.253823,0.001128,0.092830,0.001384,35,84
influence_selection,heldout_mechanism,6,0.590476,0.018920,0.529579,0.004532,0.271807,0.004249,0.118270,0.002255,0.074887,0.000949,0.253503,0.001251,0.093007,0.001310,35,84
influence_selection,heldout_object,0,0.600680,0.020164,0.532863,0.004582,0.264695,0.004214,0.115736,0.002506,0.074411,0.001005,0.251122,0.001154,0.090413,0.001164,35,84
influence_selection,heldout_object,1,0.600340,0.023398,0.533661,0.004586,0.265305,0.004218,0.115948,0.002565,0.074394,0.001050,0.251059,0.001181,0.090589,0.001279,35,84
influence_selection,heldout_object,2,0.588776,0.018680,0.532628,0.004725,0.265229,0.004135,0.115766,0.002496,0.074781,0.001025,0.251336,0.001199,0.090754,0.001309,35,84
influence_selection,heldout_object,3,0.587755,0.019792,0.532968,0.004689,0.264124,0.003994,0.115429,0.002435,0.074913,0.001075,0.251280,0.001208,0.090902,0.001356,35,84
influence_selection,heldout_object,4,0.581973,0.023329,0.532393,0.004817,0.264391,0.003913,0.115782,0.002643,0.075229,0.001114,0.251042,0.001242,0.090843,0.001463,35,84
influence_selection,heldout_object,5,0.575170,0.024308,0.532733,0.004697,0.264657,0.003903,0.116165,0.002599,0.074881,0.001113,0.251043,0.001233,0.091014,0.001441,35,84
influence_selection,heldout_object,6,0.598299,0.016215,0.532158,0.005065,0.265267,0.003906,0.115215,0.002213,0.074553,0.001018,0.250288,0.001151,0.091189,0.001370,35,84
influence_selection,small_budget,0,0.619388,0.019615,0.534094,0.004910,0.258848,0.003874,0.111458,0.002597,0.072313,0.000948,0.248336,0.001170,0.087749,0.001243,35,84
influence_selection,small_budget,1,0.599320,0.024722,0.534875,0.004913,0.258760,0.003876,0.112209,0.002729,0.072918,0.000976,0.248919,0.001203,0.087219,0.001231,35,84
influence_selection,small_budget,2,0.611565,0.019536,0.534742,0.004593,0.258329,0.003647,0.111739,0.002400,0.072792,0.000883,0.248722,0.001020,0.086913,0.000985,35,84
influence_selection,small_budget,3,0.616667,0.021955,0.534608,0.004466,0.258241,0.003764,0.111734,0.002335,0.072848,0.000868,0.249054,0.001011,0.087070,0.000936,35,84
influence_selection,small_budget,4,0.601361,0.019659,0.535390,0.004469,0.257467,0.003685,0.112068,0.002317,0.073309,0.000845,0.249361,0.001058,0.087215,0.001050,35,84
influence_selection,small_budget,5,0.630612,0.022011,0.536171,0.004472,0.257722,0.003639,0.111590,0.002391,0.072866,0.000890,0.249222,0.001092,0.087148,0.001122,35,84
influence_selection,small_budget,6,0.602381,0.020047,0.536952,0.004476,0.257633,0.003653,0.112585,0.002234,0.073421,0.000899,0.248972,0.001008,0.087534,0.001123,35,84
invariant_risk_selection,clean_budget,0,0.638095,0.019445,0.563553,0.004944,0.215986,0.003702,0.096638,0.002488,0.064852,0.000943,0.235349,0.001203,0.075120,0.001193,35,84
invariant_risk_selection,clean_budget,1,0.653401,0.020196,0.563917,0.005127,0.215585,0.003879,0.095640,0.002441,0.064654,0.001004,0.235599,0.001242,0.075291,0.001192,35,84
invariant_risk_selection,clean_budget,2,0.641837,0.024320,0.563824,0.004926,0.216213,0.003883,0.095973,0.002411,0.064881,0.001037,0.235660,0.001232,0.075708,0.001193,35,84
invariant_risk_selection,clean_budget,3,0.647959,0.018030,0.564188,0.005157,0.216154,0.003791,0.095960,0.002288,0.064480,0.000921,0.235544,0.001186,0.075428,0.001263,35,84
invariant_risk_selection,clean_budget,4,0.650000,0.017356,0.564094,0.005077,0.216439,0.003829,0.095863,0.002451,0.064168,0.000982,0.235240,0.001090,0.075382,0.001367,35,84
invariant_risk_selection,clean_budget,5,0.651020,0.023544,0.564001,0.004898,0.216038,0.003392,0.095980,0.002459,0.064551,0.001003,0.235175,0.001124,0.075324,0.001382,35,84
invariant_risk_selection,clean_budget,6,0.642177,0.021622,0.563907,0.004856,0.215637,0.003320,0.095707,0.002271,0.064879,0.000945,0.234751,0.001216,0.075039,0.001255,35,84
invariant_risk_selection,combined_stress,0,0.582993,0.018387,0.544994,0.004878,0.247549,0.003822,0.111954,0.002397,0.067317,0.000716,0.247578,0.001130,0.089683,0.001382,35,84
invariant_risk_selection,combined_stress,1,0.575850,0.023276,0.544467,0.004769,0.248195,0.003826,0.112396,0.002493,0.067703,0.000818,0.247378,0.001095,0.090112,0.001385,35,84
invariant_risk_selection,combined_stress,2,0.573129,0.024670,0.544855,0.004734,0.247126,0.003745,0.112823,0.002547,0.068169,0.000833,0.247591,0.001073,0.089599,0.001408,35,84
invariant_risk_selection,combined_stress,3,0.572109,0.028295,0.545243,0.004791,0.247086,0.003869,0.112809,0.002561,0.067923,0.000884,0.247788,0.001151,0.089330,0.001275,35,84
invariant_risk_selection,combined_stress,4,0.559184,0.024038,0.545631,0.004732,0.246360,0.003536,0.113106,0.002552,0.068139,0.001009,0.247645,0.001079,0.089280,0.001252,35,84
invariant_risk_selection,combined_stress,5,0.560884,0.022813,0.546476,0.004737,0.246319,0.003341,0.113467,0.002343,0.068320,0.000948,0.247586,0.001109,0.089241,0.001358,35,84
invariant_risk_selection,combined_stress,6,0.564286,0.023784,0.546407,0.004948,0.246279,0.003445,0.112863,0.002410,0.068408,0.001034,0.247966,0.001179,0.089659,0.001363,35,84
invariant_risk_selection,heldout_mechanism,0,0.596599,0.023910,0.551324,0.005388,0.236649,0.003729,0.105669,0.002324,0.066608,0.001112,0.242538,0.000817,0.084595,0.001166,35,84
invariant_risk_selection,heldout_mechanism,1,0.596939,0.023821,0.550813,0.005378,0.236621,0.003818,0.106080,0.002343,0.066827,0.001046,0.242729,0.000832,0.084792,0.001174,35,84
invariant_risk_selection,heldout_mechanism,2,0.596939,0.021669,0.551217,0.005319,0.236936,0.003824,0.106066,0.002171,0.066811,0.001060,0.242923,0.000938,0.084309,0.001276,35,84
invariant_risk_selection,heldout_mechanism,3,0.605782,0.018144,0.551621,0.005145,0.236908,0.003920,0.105993,0.002071,0.065916,0.000766,0.242800,0.000944,0.084735,0.001280,35,84
invariant_risk_selection,heldout_mechanism,4,0.593878,0.018885,0.551568,0.004999,0.235508,0.004052,0.106453,0.002251,0.066334,0.000833,0.242884,0.001068,0.084225,0.001275,35,84
invariant_risk_selection,heldout_mechanism,5,0.609184,0.020190,0.552429,0.005002,0.235136,0.003626,0.105935,0.002275,0.066186,0.000944,0.242925,0.001084,0.084188,0.001073,35,84
invariant_risk_selection,heldout_mechanism,6,0.610884,0.021745,0.551461,0.004421,0.235108,0.003769,0.105847,0.002208,0.066348,0.000814,0.243102,0.001140,0.083928,0.001181,35,84
invariant_risk_selection,heldout_object,0,0.622449,0.020372,0.555049,0.004645,0.230159,0.003318,0.103336,0.002464,0.065845,0.000949,0.240859,0.001162,0.082206,0.001207,35,84
invariant_risk_selection,heldout_object,1,0.609524,0.021746,0.554971,0.004785,0.229427,0.003480,0.103629,0.002548,0.066285,0.000941,0.240713,0.001104,0.081923,0.001159,35,84
invariant_risk_selection,heldout_object,2,0.609524,0.020623,0.555351,0.004627,0.230067,0.003483,0.103853,0.002605,0.065825,0.000921,0.240438,0.001244,0.082119,0.001216,35,84
invariant_risk_selection,heldout_object,3,0.618367,0.020403,0.554816,0.004746,0.230364,0.003562,0.103103,0.002421,0.065803,0.000757,0.240760,0.001235,0.082081,0.001300,35,84
invariant_risk_selection,heldout_object,4,0.603401,0.025752,0.555196,0.004993,0.230318,0.003473,0.103273,0.002543,0.066073,0.001065,0.241092,0.001214,0.082267,0.001313,35,84
invariant_risk_selection,heldout_object,5,0.613605,0.018234,0.555119,0.005126,0.229242,0.003971,0.103308,0.002367,0.066023,0.000838,0.240943,0.001182,0.081978,0.001276,35,84
invariant_risk_selection,heldout_object,6,0.616667,0.017711,0.555041,0.004956,0.229539,0.003802,0.103417,0.002478,0.065711,0.000965,0.240865,0.001278,0.081254,0.001259,35,84
invariant_risk_selection,small_budget,0,0.633333,0.019127,0.557702,0.004944,0.224522,0.003539,0.099103,0.002473,0.064852,0.001007,0.238177,0.001162,0.079113,0.001104,35,84
invariant_risk_selection,small_budget,1,0.627551,0.021593,0.557151,0.004835,0.224464,0.003446,0.099447,0.002393,0.064940,0.001028,0.238180,0.000900,0.079290,0.001123,35,84
invariant_risk_selection,small_budget,2,0.639456,0.018734,0.557972,0.004837,0.224406,0.003683,0.099488,0.002518,0.064427,0.000912,0.238235,0.000843,0.079238,0.001059,35,84
invariant_risk_selection,small_budget,3,0.623469,0.021370,0.557879,0.004443,0.224690,0.003609,0.099932,0.002195,0.064965,0.000869,0.238569,0.000916,0.079192,0.001139,35,84
invariant_risk_selection,small_budget,4,0.627891,0.020187,0.558700,0.004446,0.224975,0.003577,0.100220,0.002182,0.064857,0.000736,0.238698,0.000958,0.079375,0.001190,35,84
invariant_risk_selection,small_budget,5,0.636395,0.014861,0.558607,0.004708,0.225260,0.003661,0.099929,0.002086,0.065090,0.000725,0.239016,0.000949,0.079100,0.001360,35,84
invariant_risk_selection,small_budget,6,0.645238,0.020061,0.558971,0.004553,0.225202,0.003935,0.099834,0.002249,0.064859,0.000915,0.238873,0.001194,0.079277,0.001387,35,84
label_balanced_selection,clean_budget,0,0.501020,0.024074,0.408500,0.004548,0.402855,0.005433,0.168955,0.002808,0.108260,0.001120,0.163007,0.001259,0.131490,0.001350,35,84
label_balanced_selection,clean_budget,1,0.492517,0.022557,0.407949,0.004576,0.403140,0.005522,0.169174,0.002670,0.108636,0.000828,0.162808,0.001109,0.130986,0.001325,35,84
label_balanced_selection,clean_budget,2,0.490816,0.020959,0.408313,0.004569,0.403082,0.005803,0.168709,0.002666,0.108593,0.000969,0.162999,0.001256,0.130935,0.001229,35,84
label_balanced_selection,clean_budget,3,0.490136,0.020815,0.408220,0.005022,0.403024,0.005800,0.168671,0.002524,0.108784,0.000977,0.163180,0.001216,0.131112,0.001222,35,84
label_balanced_selection,clean_budget,4,0.505782,0.021568,0.407669,0.005137,0.401937,0.005562,0.168076,0.002693,0.108351,0.001093,0.163198,0.001300,0.131501,0.001217,35,84
label_balanced_selection,clean_budget,5,0.487415,0.021791,0.407575,0.004938,0.401879,0.005556,0.169026,0.002704,0.108955,0.001093,0.163327,0.001259,0.131221,0.001287,35,84
label_balanced_selection,clean_budget,6,0.503401,0.025119,0.407939,0.005170,0.402163,0.005753,0.168510,0.002871,0.108110,0.001079,0.162883,0.001193,0.131403,0.001395,35,84
label_balanced_selection,combined_stress,0,0.370408,0.020014,0.388112,0.005024,0.462449,0.005697,0.188130,0.002458,0.113220,0.000926,0.175076,0.001193,0.146044,0.001213,35,84
label_balanced_selection,combined_stress,1,0.382653,0.027428,0.388042,0.005117,0.462066,0.005598,0.187923,0.002784,0.112914,0.001069,0.175368,0.001267,0.146228,0.001193,35,84
