method,split,seed,mean_success_rate,ci95_success_rate,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
diversity_coreset_selection,clean_budget,0,0.566667,0.021922,0.467611,0.004713,0.328564,0.005047,0.143473,0.002647,0.091603,0.000727,0.190353,0.001054,0.111424,0.001392,35,84
diversity_coreset_selection,clean_budget,1,0.560884,0.018270,0.467542,0.004792,0.328524,0.004926,0.144059,0.002429,0.091946,0.000720,0.190597,0.001051,0.111384,0.001400,35,84
diversity_coreset_selection,clean_budget,2,0.560884,0.025431,0.467930,0.004850,0.328140,0.004966,0.143991,0.002710,0.092122,0.000925,0.190783,0.001197,0.110882,0.001373,35,84
diversity_coreset_selection,clean_budget,3,0.572789,0.020865,0.468317,0.004793,0.328100,0.005085,0.143589,0.002520,0.091367,0.000968,0.190393,0.001024,0.110614,0.001267,35,84
diversity_coreset_selection,clean_budget,4,0.584014,0.026126,0.469163,0.004797,0.326688,0.004534,0.143575,0.002516,0.091514,0.001046,0.190238,0.001190,0.110781,0.001359,35,84
diversity_coreset_selection,clean_budget,5,0.553061,0.019589,0.470008,0.004802,0.326991,0.004572,0.144023,0.002277,0.092365,0.000927,0.190962,0.001113,0.110976,0.001376,35,84
diversity_coreset_selection,clean_budget,6,0.564626,0.022235,0.468566,0.004766,0.327294,0.004653,0.143882,0.002405,0.092330,0.000901,0.190803,0.001230,0.110942,0.001333,35,84
diversity_coreset_selection,combined_stress,0,0.451361,0.023806,0.448978,0.004850,0.377393,0.004992,0.162596,0.002757,0.096296,0.001157,0.202690,0.001086,0.125540,0.001254,35,84
diversity_coreset_selection,combined_stress,1,0.451361,0.020255,0.448932,0.004777,0.377028,0.004931,0.162541,0.002483,0.096486,0.000871,0.202659,0.001054,0.125736,0.001219,35,84
diversity_coreset_selection,combined_stress,2,0.458844,0.024674,0.448430,0.004739,0.377006,0.004931,0.162513,0.002536,0.096769,0.000859,0.202554,0.001144,0.126166,0.001219,35,84
diversity_coreset_selection,combined_stress,3,0.472789,0.021930,0.448841,0.004677,0.377327,0.004925,0.162085,0.002476,0.096910,0.000835,0.202383,0.001202,0.126144,0.001340,35,84
