risk_budget,baseline,mean_fixed_risk_utility_diff,ci95_fixed_risk_utility_diff,paired_wins
0.05000000,conformal_shift_guard_selector,0.30611927,0.00367528,10
0.05000000,counterfactual_pair_selector,0.29445192,0.00161854,10
0.05000000,diversity_coreset_selector,0.67213279,0.00447663,10
0.05000000,domain_adversarial_selector,0.35053876,0.00476110,10
0.05000000,failure_mining_selector,0.64814460,0.00174635,10
0.05000000,foundation_embedding_filter,0.41661994,0.00233282,10
0.05000000,influence_function_selector,0.46211375,0.00296178,10
0.05000000,invariant_risk_selector,0.35057961,0.00263941,10
0.05000000,label_balanced_selector,0.83630787,0.00285363,10
0.05000000,offline_rl_value_selector,0.34342076,0.00431744,10
0.05000000,proposed_causal_mechanism_selector_v4,0.18514288,0.00207454,10
0.05000000,random_uniform_selector,0.90080792,0.00341864,10
0.05000000,tail_risk_reweighting_selector,0.31989746,0.00292901,10
0.05000000,uncertainty_active_selector,0.51562881,0.00323169,10
0.10000000,conformal_shift_guard_selector,0.32364303,0.00366996,10
0.10000000,counterfactual_pair_selector,0.31197568,0.00177521,10
0.10000000,diversity_coreset_selector,0.68965655,0.00458607,10
0.10000000,domain_adversarial_selector,0.36806252,0.00495866,10
0.10000000,failure_mining_selector,0.66566836,0.00180411,10
0.10000000,foundation_embedding_filter,0.43414370,0.00229422,10
0.10000000,influence_function_selector,0.47963751,0.00303932,10
0.10000000,invariant_risk_selector,0.36810338,0.00258554,10
0.10000000,label_balanced_selector,0.85383163,0.00299233,10
0.10000000,offline_rl_value_selector,0.36094452,0.00448455,10
0.10000000,proposed_causal_mechanism_selector_v4,0.20266664,0.00215494,10
0.10000000,random_uniform_selector,0.91833168,0.00352445,10
0.10000000,tail_risk_reweighting_selector,0.33742122,0.00303491,10
0.10000000,uncertainty_active_selector,0.53315257,0.00338124,10
