method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
conformal_shift_guard_selector,0,0.53404948,0.01101395,0.33460108,0.01261078,0.59029173,0.00107828,0.22817159,0.00192393,0.09762032,0.00091064,0.06096432,0.00047316,0.23987987,0.00100119,0.20354796,0.00140864,160,96
conformal_shift_guard_selector,1,0.53639323,0.01089019,0.33707785,0.01254973,0.58974533,0.00109017,0.22816548,0.00191559,0.09747967,0.00093005,0.06080146,0.00050722,0.24010992,0.00099488,0.20338982,0.00141443,160,96
conformal_shift_guard_selector,2,0.53268229,0.01025236,0.33325115,0.01194498,0.58989929,0.00110800,0.22800929,0.00191742,0.09741492,0.00092808,0.06084949,0.00053410,0.24023992,0.00095454,0.20411562,0.00141967,160,96
conformal_shift_guard_selector,3,0.54225260,0.01062555,0.34312749,0.01235559,0.58996570,0.00106327,0.22815326,0.00191204,0.09716323,0.00091090,0.06100281,0.00055231,0.24036992,0.00096622,0.20287828,0.00152368,160,96
conformal_shift_guard_selector,4,0.53242188,0.01059736,0.33300180,0.01233752,0.59046983,0.00105638,0.22799707,0.00193339,0.09748217,0.00092117,0.06113399,0.00053478,0.24014975,0.00099766,0.20359710,0.00145405,160,96
conformal_shift_guard_selector,5,0.53203125,0.01107748,0.33274440,0.01307846,0.59044870,0.00104787,0.22806599,0.00186250,0.09752645,0.00098828,0.06088272,0.00060041,0.24032977,0.00098442,0.20351042,0.00162145,160,96
conformal_shift_guard_selector,6,0.53808594,0.01066833,0.33946373,0.01245323,0.59060266,0.00101659,0.22820996,0.00181109,0.09693001,0.00102437,0.06067844,0.00056222,0.24055982,0.00099625,0.20292089,0.00148815,160,96
conformal_shift_guard_selector,7,0.54557292,0.01085968,0.34735143,0.01276208,0.59084416,0.00105265,0.22835392,0.00181753,0.09699094,0.00102072,0.06053784,0.00059605,0.24068982,0.00102335,0.20157012,0.00152367,160,96
conformal_shift_guard_selector,8,0.53548177,0.01031420,0.33666527,0.01211533,0.59073548,0.00107490,0.22849788,0.00175862,0.09742915,0.00103031,0.06048617,0.00058466,0.24031957,0.00102194,0.20280308,0.00138017,160,96
conformal_shift_guard_selector,9,0.53743490,0.01061637,0.33871888,0.01246126,0.59071435,0.00102760,0.22856681,0.00172358,0.09750317,0.00102758,0.06029454,0.00057179,0.24034952,0.00100130,0.20262453,0.00149097,160,96
counterfactual_pair_selector,0,0.55611979,0.01067899,0.35072152,0.01251807,0.61380391,0.00108633,0.23504777,0.00188965,0.11096910,0.00100504,0.06819405,0.00056235,0.22360987,0.00100956,0.18496511,0.00146550,160,96
counterfactual_pair_selector,1,0.55644531,0.01126075,0.35088695,0.01329318,0.61368123,0.00108174,0.23480455,0.00190181,0.11112212,0.00101781,0.06832300,0.00058912,0.22373187,0.00100896,0.18490410,0.00158789,160,96
counterfactual_pair_selector,2,0.55455729,0.01133184,0.34879659,0.01316784,0.61338347,0.00106871,0.23441125,0.00186619,0.11138587,0.00100064,0.06839568,0.00057230,0.22390390,0.00100110,0.18499054,0.00157904,160,96
counterfactual_pair_selector,3,0.55585938,0.01099872,0.35021658,0.01280839,0.61326079,0.00104955,0.23439313,0.00186482,0.11141809,0.00095442,0.06825372,0.00056142,0.22347562,0.00097008,0.18512788,0.00152114,160,96
counterfactual_pair_selector,4,0.56041667,0.01094392,0.35480852,0.01280501,0.61331321,0.00104522,0.23475021,0.00187647,0.11121684,0.00096177,0.06839609,0.00055983,0.22324745,0.00099828,0.18474540,0.00150807,160,96
counterfactual_pair_selector,5,0.55989583,0.01099948,0.35429394,0.01285992,0.61371579,0.00101218,0.23495721,0.00186326,0.11096213,0.00099067,0.06852391,0.00054208,0.22346950,0.00101075,0.18494833,0.00150523,160,96
counterfactual_pair_selector,6,0.55455729,0.01047372,0.34852268,0.01225565,0.61298031,0.00102418,0.23493910,0.00183718,0.11119357,0.00100016,0.06861349,0.00057246,0.22339140,0.00098773,0.18529369,0.00145603,160,96
