method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
counterfactual_pair_selector,7,0.55468750,0.01097562,0.34871786,0.01276280,0.61312027,0.00103470,0.23529617,0.00183080,0.11117516,0.00099495,0.06839629,0.00054247,0.22326327,0.00098093,0.18532487,0.00146322,160,96
counterfactual_pair_selector,8,0.55872396,0.01071346,0.35276758,0.01225513,0.61334777,0.00106769,0.23542813,0.00178599,0.11133116,0.00098549,0.06836532,0.00047614,0.22343530,0.00099532,0.18482160,0.00137538,160,96
counterfactual_pair_selector,9,0.54850260,0.01061290,0.34243051,0.01236319,0.61375036,0.00106051,0.23533498,0.00180557,0.11115596,0.00098167,0.06851704,0.00052993,0.22355730,0.00094827,0.18567961,0.00144255,160,96
diversity_coreset_selector,0,0.37447917,0.01215682,-0.01852228,0.01454622,0.45043352,0.00112370,0.40246520,0.00244250,0.15862576,0.00106729,0.09813477,0.00058741,0.19618547,0.00097545,0.28033048,0.00168799,160,96
diversity_coreset_selector,1,0.37298177,0.01265565,-0.02030683,0.01499174,0.45055948,0.00109114,0.40236005,0.00243711,0.15873066,0.00107454,0.09828813,0.00055394,0.19639952,0.00095825,0.28065919,0.00169263,160,96
diversity_coreset_selector,2,0.37317708,0.01341983,-0.02059707,0.01582191,0.45077298,0.00105320,0.40278016,0.00247226,0.15900484,0.00107771,0.09838060,0.00056646,0.19656355,0.00096141,0.28075254,0.00178131,160,96
diversity_coreset_selector,3,0.37011719,0.01413850,-0.02345850,0.01661836,0.45098648,0.00097603,0.40207471,0.00251861,0.15903376,0.00111304,0.09844666,0.00059342,0.19647745,0.00098432,0.28110862,0.00188538,160,96
diversity_coreset_selector,4,0.36764323,0.01389262,-0.02639795,0.01634706,0.45041208,0.00101819,0.40234475,0.00252196,0.15888206,0.00111060,0.09870901,0.00058071,0.19639135,0.00098050,0.28170908,0.00184014,160,96
diversity_coreset_selector,5,0.37194010,0.01377655,-0.02191502,0.01629816,0.45027541,0.00102495,0.40238967,0.00253508,0.15856871,0.00108232,0.09878569,0.00059524,0.19640530,0.00099267,0.28139717,0.00186870,160,96
diversity_coreset_selector,6,0.36927083,0.01359722,-0.02522748,0.01610642,0.45022628,0.00097868,0.40273475,0.00255270,0.15897600,0.00109412,0.09888634,0.00058246,0.19656932,0.00101203,0.28178685,0.00180663,160,96
diversity_coreset_selector,7,0.38548177,0.01427182,-0.00774375,0.01678942,0.45000206,0.00101282,0.40255456,0.00251482,0.15864685,0.00109257,0.09829335,0.00060299,0.19678337,0.00101771,0.27947490,0.00188469,160,96
diversity_coreset_selector,8,0.36777344,0.01391430,-0.02665713,0.01643834,0.45004047,0.00105170,0.40259949,0.00251402,0.15934384,0.00103363,0.09862665,0.00063012,0.19649717,0.00100704,0.28160711,0.00190225,160,96
diversity_coreset_selector,9,0.36686198,0.01358983,-0.02760421,0.01607652,0.45025397,0.00106580,0.40294456,0.00247906,0.15919814,0.00103709,0.09866248,0.00063383,0.19636105,0.00102233,0.28174217,0.00188269,160,96
domain_adversarial_selector,0,0.53242188,0.01070657,0.29643614,0.01244872,0.57914065,0.00111564,0.25155618,0.00186013,0.12160344,0.00094414,0.07442805,0.00051861,0.21654590,0.00097460,0.20120661,0.00145642,160,96
domain_adversarial_selector,1,0.53046875,0.01097943,0.29432690,0.01273637,0.57909852,0.00105509,0.25168214,0.00190050,0.12163474,0.00092866,0.07444328,0.00053217,0.21646380,0.00098532,0.20160771,0.00148601,160,96
domain_adversarial_selector,2,0.52727865,0.01111782,0.29091318,0.01288873,0.57879376,0.00104287,0.25150795,0.00192999,0.12139160,0.00096433,0.07475905,0.00051754,0.21628165,0.00100046,0.20238792,0.00148640,160,96
domain_adversarial_selector,3,0.53118490,0.01059505,0.29471926,0.01238726,0.57840145,0.00102775,0.25140880,0.00195658,0.12123857,0.00094930,0.07500387,0.00053058,0.21644967,0.00098542,0.20207871,0.00146945,160,96
domain_adversarial_selector,4,0.52597656,0.01048702,0.28899939,0.01230598,0.57809669,0.00102707,0.25130965,0.00191372,0.12160910,0.00094957,0.07504397,0.00055814,0.21656767,0.00100435,0.20276611,0.00146961,160,96
domain_adversarial_selector,5,0.52526042,0.01135360,0.28844669,0.01318428,0.57831719,0.00101752,0.25121050,0.00190735,0.12184487,0.00097891,0.07484505,0.00056497,0.21643555,0.00097667,0.20244763,0.00154363,160,96
domain_adversarial_selector,6,0.52851563,0.01143261,0.29207090,0.01337536,0.57836260,0.00102878,0.25133646,0.00189726,0.12171992,0.00101699,0.07470712,0.00056347,0.21620337,0.00099286,0.20208580,0.00154384,160,96
domain_adversarial_selector,7,0.53945312,0.01137067,0.30360162,0.01322578,0.57805784,0.00104374,0.25123731,0.00188207,0.12125591,0.00103241,0.07475670,0.00056743,0.21617130,0.00099923,0.20084816,0.00155589,160,96
domain_adversarial_selector,8,0.53118490,0.01038418,0.29471738,0.01212777,0.57819079,0.00105952,0.25143831,0.00186792,0.12142949,0.00099067,0.07489549,0.00055561,0.21623927,0.00100649,0.20201199,0.00144943,160,96
domain_adversarial_selector,9,0.53795573,0.01037920,0.30200512,0.01213759,0.57832375,0.00106301,0.25156428,0.00188943,0.12134915,0.00098483,0.07459691,0.00055588,0.21635727,0.00099889,0.20103986,0.00145016,160,96
failure_mining_selector,0,0.39557292,0.01330382,-0.00253340,0.01565898,0.48008387,0.00101631,0.38360455,0.00243514,0.17443742,0.00106956,0.10880469,0.00058042,0.21491672,0.00100666,0.26938406,0.00175692,160,96
failure_mining_selector,1,0.39895833,0.01442972,0.00125991,0.01680883,0.48027637,0.00110178,0.38370652,0.00240926,0.17449176,0.00105910,0.10840863,0.00061596,0.21501872,0.00099547,0.26880281,0.00189823,160,96
failure_mining_selector,2,0.40136719,0.01360580,0.00428574,0.01611132,0.48073150,0.00104556,0.38335825,0.00245657,0.17435818,0.00106100,0.10831091,0.00063152,0.21502067,0.00098654,0.26810910,0.00186091,160,96
failure_mining_selector,3,0.40729167,0.01297618,0.01056792,0.01527978,0.48057383,0.00111358,0.38323510,0.00246051,0.17417772,0.00098403,0.10840127,0.00063179,0.21497260,0.00094821,0.26733801,0.00180746,160,96
failure_mining_selector,4,0.40781250,0.01286076,0.01122401,0.01528903,0.48067878,0.00114890,0.38311195,0.00246662,0.17400929,0.00105805,0.10833950,0.00060657,0.21492452,0.00096687,0.26751823,0.00179540,160,96
failure_mining_selector,5,0.39720052,0.01356383,-0.00019511,0.01607923,0.48060865,0.00110446,0.38336399,0.00246265,0.17433917,0.00105142,0.10846475,0.00062052,0.21487645,0.00099166,0.26877551,0.00186735,160,96
failure_mining_selector,6,0.40071615,0.01301114,0.00333240,0.01542695,0.48071361,0.00107932,0.38361603,0.00239380,0.17454538,0.00106548,0.10822822,0.00061216,0.21492842,0.00100239,0.26832306,0.00176539,160,96
failure_mining_selector,7,0.40468750,0.01357720,0.00770200,0.01594917,0.48108119,0.00110200,0.38364295,0.00235235,0.17427914,0.00108439,0.10825125,0.00060398,0.21513047,0.00097890,0.26751681,0.00187326,160,96
failure_mining_selector,8,0.40384115,0.01325233,0.00681344,0.01564995,0.48083598,0.00112677,0.38336973,0.00230565,0.17429610,0.00109335,0.10832256,0.00058395,0.21503237,0.00102541,0.26781693,0.00181918,160,96
failure_mining_selector,9,0.40221354,0.01324956,0.00506857,0.01559040,0.48059076,0.00110367,0.38302147,0.00239474,0.17418357,0.00104883,0.10859891,0.00060468,0.21513437,0.00101234,0.26801207,0.00175958,160,96
foundation_embedding_filter,0,0.48281250,0.01318039,0.22125959,0.01548215,0.59361784,0.00108381,0.31626271,0.00222608,0.12460199,0.00106156,0.07871708,0.00063579,0.18814730,0.00099156,0.20186170,0.00183847,160,96
foundation_embedding_filter,1,0.49342448,0.01303215,0.23283307,0.01521202,0.59427606,0.00104886,0.31638867,0.00224623,0.12400622,0.00106441,0.07856856,0.00060352,0.18806520,0.00098728,0.20050176,0.00177566,160,96
foundation_embedding_filter,2,0.49108073,0.01151310,0.23052500,0.01353057,0.59397129,0.00112290,0.31651463,0.00219491,0.12389917,0.00101380,0.07843244,0.00055664,0.18768295,0.00095461,0.20082688,0.00153333,160,96
foundation_embedding_filter,3,0.48411458,0.01203647,0.22308470,0.01414838,0.59375408,0.00118159,0.31649052,0.00224700,0.12402514,0.00104848,0.07859090,0.00055493,0.18780095,0.00099355,0.20158536,0.00160111,160,96
foundation_embedding_filter,4,0.49231771,0.01214291,0.23162955,0.01418069,0.59353686,0.00115695,0.31661648,0.00224965,0.12395185,0.00104194,0.07836702,0.00052658,0.18806902,0.00098297,0.20045579,0.00158122,160,96
foundation_embedding_filter,5,0.48541667,0.01205857,0.22410485,0.01416705,0.59401999,0.00112505,0.31636726,0.00221198,0.12431744,0.00100100,0.07868471,0.00054231,0.18823705,0.00097440,0.20143280,0.00163262,160,96
foundation_embedding_filter,6,0.48626302,0.01214006,0.22513250,0.01424386,0.59406540,0.00106324,0.31626811,0.00224235,0.12445631,0.00098451,0.07850187,0.00056718,0.18800487,0.00100423,0.20130320,0.00164880,160,96
foundation_embedding_filter,7,0.48606771,0.01255085,0.22475953,0.01471217,0.59376064,0.00104629,0.31631903,0.00225750,0.12428195,0.00097698,0.07872189,0.00056167,0.18797280,0.00099947,0.20167575,0.00170255,160,96
foundation_embedding_filter,8,0.48984375,0.01266012,0.22862151,0.01475819,0.59328079,0.00102175,0.31621988,0.00224669,0.12378265,0.00103397,0.07899831,0.00055808,0.18804077,0.00101209,0.20148997,0.00169749,160,96
foundation_embedding_filter,9,0.49713542,0.01284259,0.23624405,0.01503816,0.59315111,0.00102484,0.31589562,0.00225963,0.12381965,0.00105257,0.07893942,0.00056630,0.18805872,0.00101327,0.20070275,0.00172264,160,96
influence_function_selector,0,0.47513021,0.01305020,0.18253912,0.01523525,0.55032248,0.00102339,0.31792336,0.00218523,0.13387686,0.00104142,0.08367317,0.00060879,0.21597857,0.00097972,0.22318576,0.00176343,160,96
influence_function_selector,1,0.48235677,0.01270411,0.19021594,0.01489912,0.55028035,0.00103191,0.31834948,0.00215323,0.13369421,0.00104494,0.08341568,0.00059128,0.21569637,0.00100626,0.22248598,0.00170863,160,96
influence_function_selector,2,0.47337240,0.01198845,0.18055687,0.01417449,0.54997559,0.00103886,0.31802521,0.00213703,0.13376927,0.00105979,0.08385214,0.00058532,0.21576435,0.00099109,0.22391130,0.00163865,160,96
influence_function_selector,3,0.47037760,0.01220625,0.17725488,0.01432951,0.55019609,0.00105653,0.31815118,0.00210925,0.13383182,0.00107650,0.08398804,0.00058613,0.21568225,0.00099757,0.22436624,0.00167205,160,96
influence_function_selector,4,0.48079427,0.01248759,0.18859095,0.01460673,0.55015396,0.00105467,0.31827714,0.00212824,0.13349204,0.00105054,0.08355824,0.00060119,0.21585027,0.00100045,0.22276046,0.00169763,160,96
influence_function_selector,5,0.47122396,0.01163153,0.17844626,0.01370638,0.55063709,0.00108939,0.31825303,0.00214033,0.13404630,0.00103188,0.08358918,0.00058036,0.21611835,0.00098854,0.22370406,0.00158748,160,96
influence_function_selector,6,0.47500000,0.01180035,0.18274436,0.01384333,0.55112022,0.00106984,0.31852906,0.00215891,0.13361129,0.00104703,0.08352603,0.00057100,0.21593620,0.00098435,0.22306277,0.00156469,160,96
influence_function_selector,7,0.47467448,0.01148000,0.18255475,0.01338021,0.55116563,0.00108496,0.31865503,0.00210832,0.13349371,0.00101129,0.08340298,0.00055620,0.21570402,0.00096286,0.22313107,0.00152912,160,96
influence_function_selector,8,0.47382812,0.01148480,0.18171477,0.01355995,0.55086087,0.00116384,0.31863091,0.00215977,0.13348611,0.00104236,0.08329320,0.00055137,0.21567195,0.00099221,0.22327572,0.00155553,160,96
influence_function_selector,9,0.47910156,0.01219678,0.18708143,0.01437965,0.55038102,0.00113950,0.31875688,0.00218803,0.13345070,0.00105722,0.08317434,0.00057123,0.21604007,0.00098629,0.22244795,0.00167654,160,96
interventional_mechanism_value_selector_v5,0,0.69804687,0.00888502,0.63778632,0.01022928,0.73405879,0.00103078,0.12896943,0.00153965,0.07667552,0.00091173,0.04674852,0.00048452,0.17269470,0.00098697,0.10745130,0.00124723,160,96
interventional_mechanism_value_selector_v5,1,0.69446615,0.00916057,0.63422884,0.01047837,0.73385903,0.00106197,0.12866013,0.00154786,0.07679911,0.00092583,0.04665064,0.00052152,0.17247250,0.00096933,0.10773979,0.00117505,160,96
interventional_mechanism_value_selector_v5,2,0.69589844,0.00901230,0.63551362,0.01041562,0.73339664,0.00105627,0.12857594,0.00150675,0.07673084,0.00094807,0.04690530,0.00050848,0.17250042,0.00098308,0.10749837,0.00122214,160,96
interventional_mechanism_value_selector_v5,3,0.69785156,0.00915122,0.63738308,0.01044828,0.73328442,0.00104814,0.12864183,0.00148006,0.07690278,0.00092236,0.04676750,0.00050279,0.17272845,0.00097656,0.10745173,0.00126086,160,96
interventional_mechanism_value_selector_v5,4,0.69648438,0.00876340,0.63611974,0.01003367,0.73317220,0.00105961,0.12855764,0.00139946,0.07671839,0.00091353,0.04666538,0.00048004,0.17270635,0.00096310,0.10783793,0.00122038,160,96
interventional_mechanism_value_selector_v5,5,0.69830729,0.00875479,0.63812609,0.01003638,0.73349770,0.00106848,0.12824834,0.00142661,0.07657983,0.00090917,0.04690473,0.00045243,0.17268425,0.00099030,0.10744124,0.00128005,160,96
interventional_mechanism_value_selector_v5,6,0.69479167,0.00817990,0.63441181,0.00930079,0.73329794,0.00104687,0.12816415,0.00140374,0.07701017,0.00088145,0.04677812,0.00045389,0.17276220,0.00101137,0.10756286,0.00114830,160,96
interventional_mechanism_value_selector_v5,7,0.70162760,0.00867859,0.64146262,0.00997509,0.73362344,0.00105422,0.12868027,0.00143245,0.07680261,0.00092227,0.04678788,0.00048500,0.17254000,0.00101441,0.10666014,0.00117924,160,96
interventional_mechanism_value_selector_v5,8,0.69752604,0.00849066,0.63758064,0.00984702,0.73359876,0.00105717,0.12814585,0.00143534,0.07658309,0.00092543,0.04692487,0.00051893,0.17236782,0.00101346,0.10709847,0.00122450,160,96
interventional_mechanism_value_selector_v5,9,0.69225260,0.00834459,0.63144243,0.00951044,0.73348654,0.00111381,0.12866197,0.00143672,0.07688888,0.00089937,0.04708336,0.00050309,0.17259585,0.00103011,0.10788478,0.00120341,160,96
invariant_risk_selector,0,0.51992187,0.01107428,0.28797154,0.01303642,0.58856849,0.00111399,0.26235061,0.00199145,0.11702605,0.00097423,0.07401598,0.00055528,0.20624357,0.00097825,0.19888001,0.00152322,160,96
invariant_risk_selector,1,0.52636719,0.01007410,0.29477564,0.01207144,0.58884853,0.00111330,0.26267768,0.00194904,0.11714722,0.00097184,0.07347285,0.00058081,0.20614547,0.00100576,0.19844245,0.00146473,160,96
invariant_risk_selector,2,0.52408854,0.01119173,0.29247449,0.01315088,0.58904103,0.00108467,0.26292972,0.00192101,0.11712706,0.00100915,0.07347712,0.00056275,0.20629750,0.00098988,0.19816798,0.00156651,160,96
invariant_risk_selector,3,0.51555990,0.01100394,0.28345292,0.01277956,0.58897090,0.00110864,0.26273153,0.00184456,0.11737733,0.00098218,0.07365203,0.00051002,0.20629945,0.00098908,0.19908769,0.00151918,160,96
invariant_risk_selector,4,0.53151042,0.01102916,0.30052043,0.01287905,0.58881323,0.00112259,0.26215816,0.00190346,0.11677893,0.00098832,0.07362880,0.00052594,0.20635142,0.00101161,0.19725573,0.00142638,160,96
invariant_risk_selector,5,0.53007812,0.01142042,0.29870935,0.01326326,0.58830538,0.00106027,0.26233516,0.00194650,0.11693063,0.00099880,0.07362679,0.00053430,0.20620330,0.00100064,0.19779008,0.00152023,160,96
invariant_risk_selector,6,0.52682292,0.01099881,0.29497401,0.01291583,0.58806016,0.00100434,0.26281231,0.00192882,0.11689829,0.00100498,0.07385206,0.00054755,0.20615522,0.00097217,0.19815995,0.00147659,160,96
invariant_risk_selector,7,0.52688802,0.01155235,0.29507504,0.01350053,0.58851529,0.00098554,0.26306434,0.00193738,0.11695789,0.00103769,0.07366885,0.00056806,0.20630725,0.00096901,0.19828635,0.00156391,160,96
invariant_risk_selector,8,0.52636719,0.01100681,0.29446953,0.01294547,0.58853270,0.00104996,0.26264104,0.00192220,0.11710945,0.00101162,0.07393978,0.00056033,0.20620915,0.00100750,0.19816304,0.00153262,160,96
invariant_risk_selector,9,0.52773437,0.01092157,0.29591767,0.01275168,0.58837503,0.00105051,0.26259293,0.00194169,0.11701853,0.00102071,0.07391879,0.00054012,0.20616107,0.00098754,0.19832276,0.00147052,160,96
label_balanced_selector,0,0.29088542,0.01525842,-0.18013368,0.01578437,0.39669510,0.00111253,0.49722360,0.00290397,0.17894469,0.00110341,0.11095372,0.00066372,0.20321582,0.00097006,0.31722656,0.00209448,160,96
label_balanced_selector,1,0.29049479,0.01464633,-0.18218009,0.01545903,0.39653743,0.00113507,0.49725052,0.00290656,0.17885933,0.00112196,0.11101609,0.00063961,0.20326780,0.00097066,0.31753840,0.00200926,160,96
label_balanced_selector,2,0.29524740,0.01508399,-0.17589071,0.01557742,0.39690501,0.00111034,0.49727745,0.00285060,0.17886980,0.00113992,0.11064146,0.00066314,0.20321972,0.00101540,0.31703019,0.00205162,160,96
label_balanced_selector,3,0.29173177,0.01508014,-0.18012403,0.01575846,0.39683488,0.00108632,0.49775460,0.00282495,0.17894533,0.00117278,0.11057773,0.00066478,0.20327170,0.00098964,0.31718066,0.00206542,160,96
label_balanced_selector,4,0.29160156,0.01466367,-0.18059081,0.01522338,0.39685229,0.00110290,0.49763145,0.00279974,0.17904656,0.00112760,0.11069394,0.00061849,0.20337370,0.00098862,0.31695843,0.00202450,160,96
label_balanced_selector,5,0.28860677,0.01531314,-0.18221110,0.01558823,0.39678216,0.00114456,0.49713311,0.00277568,0.17896934,0.00116736,0.11094429,0.00061489,0.20337565,0.00101428,0.31743105,0.00203537,160,96
label_balanced_selector,6,0.28684896,0.01547417,-0.18264773,0.01566130,0.39636186,0.00104575,0.49700996,0.00283562,0.17906937,0.00117047,0.11103969,0.00064248,0.20332757,0.00102060,0.31792182,0.00207998,160,96
label_balanced_selector,7,0.29485677,0.01441404,-0.17846395,0.01502282,0.39611664,0.00098968,0.49756215,0.00281968,0.17880204,0.00112682,0.11084937,0.00060950,0.20317945,0.00097468,0.31705447,0.00191534,160,96
label_balanced_selector,8,0.30182292,0.01540420,-0.16976327,0.01589891,0.39639668,0.00099644,0.49781418,0.00285323,0.17865461,0.00117200,0.11062957,0.00065537,0.20343152,0.00097077,0.31615974,0.00206808,160,96
label_balanced_selector,9,0.29876302,0.01457836,-0.17395823,0.01516069,0.39650164,0.00105689,0.49746592,0.00282196,0.17893522,0.00115738,0.11090527,0.00063558,0.20318335,0.00100725,0.31634873,0.00201515,160,96
offline_rl_value_selector,0,0.54407552,0.01158316,0.31441690,0.01375151,0.60250584,0.00105337,0.27487031,0.00205675,0.11703434,0.00104411,0.07346120,0.00058951,0.19702062,0.00102676,0.18597562,0.00163364,160,96
offline_rl_value_selector,1,0.53268229,0.01165405,0.30248551,0.01357304,0.60279988,0.00107086,0.27445901,0.00201013,0.11727041,0.00101037,0.07379103,0.00057751,0.19693052,0.00099094,0.18753673,0.00160967,160,96
offline_rl_value_selector,2,0.52988281,0.01187637,0.29939300,0.01400981,0.60265621,0.00111680,0.27464801,0.00200631,0.11732150,0.00106820,0.07396589,0.00060663,0.19664032,0.00101122,0.18791242,0.00165093,160,96
offline_rl_value_selector,3,0.52897135,0.01128429,0.29812858,0.01328433,0.60207481,0.00108734,0.27476198,0.00203076,0.11751320,0.00102779,0.07396378,0.00057022,0.19655022,0.00099665,0.18814665,0.00150445,160,96
offline_rl_value_selector,4,0.53274740,0.01174976,0.30233197,0.01376316,0.60219377,0.00107939,0.27495098,0.00206326,0.11741705,0.00102873,0.07361124,0.00059331,0.19676027,0.00099256,0.18733875,0.00160763,160,96
offline_rl_value_selector,5,0.53216146,0.01194688,0.30173397,0.01404524,0.60275044,0.00108824,0.27483983,0.00205600,0.11764045,0.00103839,0.07370117,0.00060722,0.19672020,0.00095895,0.18723005,0.00166295,160,96
offline_rl_value_selector,6,0.53704427,0.01080674,0.30741520,0.01270413,0.60304449,0.00107009,0.27442853,0.00208585,0.11733821,0.00098987,0.07350564,0.00057017,0.19668012,0.00097436,0.18655561,0.00149741,160,96
offline_rl_value_selector,7,0.53483073,0.01157017,0.30505035,0.01366281,0.60263818,0.00110664,0.27439241,0.00203603,0.11721310,0.00101738,0.07365533,0.00057732,0.19648997,0.00098318,0.18703839,0.00161344,160,96
offline_rl_value_selector,8,0.53020833,0.01191229,0.29989009,0.01393758,0.60249451,0.00110301,0.27435630,0.00202033,0.11711022,0.00102751,0.07404981,0.00055970,0.19659997,0.00095909,0.18780105,0.00162992,160,96
offline_rl_value_selector,9,0.53652344,0.01151616,0.30662035,0.01343199,0.60261346,0.00106540,0.27439523,0.00198496,0.11703225,0.00096173,0.07380003,0.00053370,0.19660992,0.00095615,0.18712053,0.00156691,160,96
oracle_interventional_selector,0,0.80572917,0.00746434,0.84963820,0.00854262,0.84057956,0.00101013,0.06603604,0.00122957,0.05177290,0.00089632,0.03026913,0.00049711,0.14444460,0.00100584,0.04571835,0.00111579,160,96
oracle_interventional_selector,1,0.80501302,0.00740698,0.84874796,0.00846100,0.84082106,0.00104549,0.06618001,0.00121358,0.05207993,0.00090555,0.03024093,0.00052092,0.14452457,0.00102187,0.04561684,0.00103426,160,96
oracle_interventional_selector,2,0.79967448,0.00769355,0.84324294,0.00885399,0.84097501,0.00109359,0.06632397,0.00118166,0.05237556,0.00093033,0.03009515,0.00052752,0.14425437,0.00102415,0.04601030,0.00108983,160,96
oracle_interventional_selector,3,0.80625000,0.00831381,0.85018800,0.00939188,0.84060371,0.00102030,0.06639289,0.00114512,0.05226089,0.00092758,0.02980900,0.00049764,0.14423430,0.00099417,0.04534228,0.00116133,160,96
oracle_interventional_selector,4,0.80175781,0.00725782,0.84566882,0.00820521,0.84102029,0.00104088,0.06608663,0.00108569,0.05221387,0.00091290,0.02986945,0.00046537,0.14421422,0.00100766,0.04614564,0.00101082,160,96
oracle_interventional_selector,5,0.80286458,0.00780630,0.84645680,0.00886457,0.84099916,0.00107256,0.06638067,0.00115580,0.05237186,0.00095193,0.03005233,0.00045500,0.14404407,0.00101543,0.04595876,0.00106323,160,96
oracle_interventional_selector,6,0.80364583,0.00705584,0.84687074,0.00799755,0.84071540,0.00108101,0.06659967,0.00118504,0.05243672,0.00089999,0.03023413,0.00045234,0.14407402,0.00096913,0.04600007,0.00093204,160,96
oracle_interventional_selector,7,0.80403646,0.00775711,0.84731350,0.00863579,0.84069427,0.00112091,0.06621837,0.00121955,0.05264056,0.00089600,0.03017036,0.00044407,0.14410397,0.00095603,0.04605908,0.00098662,160,96
oracle_interventional_selector,8,0.80761719,0.00811781,0.85101406,0.00923955,0.84032296,0.00107193,0.06613722,0.00129970,0.05220983,0.00089643,0.03031665,0.00045694,0.14428400,0.00096344,0.04591231,0.00110343,160,96
oracle_interventional_selector,9,0.80130208,0.00755456,0.84438872,0.00858354,0.84038938,0.00107805,0.06605607,0.00135698,0.05242615,0.00081273,0.03052982,0.00043422,0.14376367,0.00100633,0.04647411,0.00103868,160,96
