method,risk_budget,seed,mean_accepted,ci95_accepted,mean_budget_breach,ci95_budget_breach,mean_fixed_risk_utility,ci95_fixed_risk_utility,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,groups,episodes_per_cell
conformal_shift_guard_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.29692186,0.01317286,0.52721354,0.01128039,0.33202954,0.01315673,160,96
conformal_shift_guard_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.30807006,0.01278138,0.53763021,0.01079345,0.34318089,0.01276551,160,96
conformal_shift_guard_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.29912242,0.01232411,0.52949219,0.01022312,0.33423203,0.01230528,160,96
conformal_shift_guard_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.30366301,0.01202319,0.53391927,0.01007463,0.33877577,0.01200411,160,96
conformal_shift_guard_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.31036539,0.01343018,0.54003906,0.01120835,0.34547693,0.01340887,160,96
conformal_shift_guard_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.29691453,0.01276817,0.52727865,0.01053204,0.33203360,0.01274620,160,96
conformal_shift_guard_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.29667853,0.01163261,0.52708333,0.00962371,0.33180513,0.01161370,160,96
conformal_shift_guard_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.30610400,0.01219045,0.53600260,0.01004466,0.34122500,0.01217165,160,96
conformal_shift_guard_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.30103002,0.01201730,0.53157552,0.00997850,0.33615637,0.01199924,160,96
conformal_shift_guard_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.29451191,0.01215578,0.52532552,0.00999524,0.32963266,0.01213488,160,96
conformal_shift_guard_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.29692186,0.01317286,0.52721354,0.01128039,0.33202954,0.01315673,160,96
conformal_shift_guard_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.30807006,0.01278138,0.53763021,0.01079345,0.34318089,0.01276551,160,96
conformal_shift_guard_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.29912242,0.01232411,0.52949219,0.01022312,0.33423203,0.01230528,160,96
conformal_shift_guard_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.30366301,0.01202319,0.53391927,0.01007463,0.33877577,0.01200411,160,96
conformal_shift_guard_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.31036539,0.01343018,0.54003906,0.01120835,0.34547693,0.01340887,160,96
conformal_shift_guard_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.29691453,0.01276817,0.52727865,0.01053204,0.33203360,0.01274620,160,96
conformal_shift_guard_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.29667853,0.01163261,0.52708333,0.00962371,0.33180513,0.01161370,160,96
conformal_shift_guard_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.30610400,0.01219045,0.53600260,0.01004466,0.34122500,0.01217165,160,96
