method,risk_budget,seed,mean_accepted,ci95_accepted,mean_budget_breach,ci95_budget_breach,mean_fixed_risk_utility,ci95_fixed_risk_utility,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,groups,episodes_per_cell
conformal_shift_guard_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.30103002,0.01201730,0.53157552,0.00997850,0.33615637,0.01199924,160,96
conformal_shift_guard_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.29451191,0.01215578,0.52532552,0.00999524,0.32963266,0.01213488,160,96
counterfactual_pair_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.31312255,0.01229311,0.54947917,0.01024198,0.34766107,0.01227374,160,96
counterfactual_pair_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.30954727,0.01206529,0.54635417,0.00996762,0.34408711,0.01204598,160,96
counterfactual_pair_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.31458433,0.01337195,0.55117187,0.01115683,0.34912549,0.01335182,160,96
counterfactual_pair_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.31324049,0.01257975,0.54993490,0.01046528,0.34778733,0.01255890,160,96
counterfactual_pair_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.31802977,0.01268909,0.55423177,0.01049498,0.35257793,0.01266861,160,96
counterfactual_pair_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.30726465,0.01241345,0.54401042,0.01030570,0.34181413,0.01239403,160,96
counterfactual_pair_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.31597201,0.01252106,0.55234375,0.01032952,0.35052937,0.01250029,160,96
counterfactual_pair_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.31154622,0.01289082,0.54785156,0.01067486,0.34608958,0.01286864,160,96
counterfactual_pair_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.31923792,0.01282685,0.55494792,0.01083582,0.35376946,0.01281047,160,96
counterfactual_pair_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.30750999,0.01202052,0.54381510,0.01004344,0.34203409,0.01200039,160,96
counterfactual_pair_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.31312255,0.01229311,0.54947917,0.01024198,0.34766107,0.01227374,160,96
counterfactual_pair_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.30954727,0.01206529,0.54635417,0.00996762,0.34408711,0.01204598,160,96
counterfactual_pair_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.31458433,0.01337195,0.55117187,0.01115683,0.34912549,0.01335182,160,96
counterfactual_pair_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.31324049,0.01257975,0.54993490,0.01046528,0.34778733,0.01255890,160,96
counterfactual_pair_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.31802977,0.01268909,0.55423177,0.01049498,0.35257793,0.01266861,160,96
counterfactual_pair_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.30726465,0.01241345,0.54401042,0.01030570,0.34181413,0.01239403,160,96
counterfactual_pair_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.31597201,0.01252106,0.55234375,0.01032952,0.35052937,0.01250029,160,96
counterfactual_pair_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.31154622,0.01289082,0.54785156,0.01067486,0.34608958,0.01286864,160,96
counterfactual_pair_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.31923792,0.01282685,0.55494792,0.01083582,0.35376946,0.01281047,160,96
counterfactual_pair_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.30750999,0.01202052,0.54381510,0.01004344,0.34203409,0.01200039,160,96
diversity_coreset_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,-0.05980013,0.01497343,0.36731771,0.01210101,-0.02117839,0.01494951,160,96
diversity_coreset_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,-0.06190086,0.01520433,0.36503906,0.01226624,-0.02328403,0.01518063,160,96
diversity_coreset_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,-0.06509705,0.01601053,0.36197917,0.01301753,-0.02649168,0.01598705,160,96
diversity_coreset_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,-0.06309488,0.01599067,0.36367187,0.01290297,-0.02449879,0.01596658,160,96
diversity_coreset_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,-0.06856115,0.01584754,0.35891927,0.01285903,-0.02995901,0.01582165,160,96
diversity_coreset_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,-0.06039018,0.01692198,0.36705729,0.01384878,-0.02177763,0.01689412,160,96
diversity_coreset_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,-0.06992381,0.01570378,0.35813802,0.01263152,-0.03131397,0.01567829,160,96
diversity_coreset_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,-0.06098112,0.01593633,0.36621094,0.01288665,-0.02236523,0.01591258,160,96
diversity_coreset_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,-0.06909440,0.01643880,0.35885417,0.01333316,-0.03047466,0.01641211,160,96
diversity_coreset_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,-0.06790989,0.01667617,0.36015625,0.01362701,-0.02928629,0.01664907,160,96
diversity_coreset_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,-0.05980013,0.01497343,0.36731771,0.01210101,-0.02117839,0.01494951,160,96
diversity_coreset_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,-0.06190086,0.01520433,0.36503906,0.01226624,-0.02328403,0.01518063,160,96
diversity_coreset_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,-0.06509705,0.01601053,0.36197917,0.01301753,-0.02649168,0.01598705,160,96
diversity_coreset_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,-0.06309488,0.01599067,0.36367187,0.01290297,-0.02449879,0.01596658,160,96
diversity_coreset_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,-0.06856115,0.01584754,0.35891927,0.01285903,-0.02995901,0.01582165,160,96
diversity_coreset_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,-0.06039018,0.01692198,0.36705729,0.01384878,-0.02177763,0.01689412,160,96
diversity_coreset_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,-0.06992381,0.01570378,0.35813802,0.01263152,-0.03131397,0.01567829,160,96
diversity_coreset_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,-0.06098112,0.01593633,0.36621094,0.01288665,-0.02236523,0.01591258,160,96
diversity_coreset_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,-0.06909440,0.01643880,0.35885417,0.01333316,-0.03047466,0.01641211,160,96
diversity_coreset_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,-0.06790989,0.01667617,0.36015625,0.01362701,-0.02928629,0.01664907,160,96
domain_adversarial_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.26339647,0.01290407,0.52994792,0.01071692,0.29879996,0.01288610,160,96
domain_adversarial_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.25449760,0.01315288,0.52187500,0.01090553,0.28990477,0.01313175,160,96
domain_adversarial_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.25463505,0.01254005,0.52200521,0.01045414,0.29004152,0.01252309,160,96
domain_adversarial_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.25672225,0.01303171,0.52441406,0.01096673,0.29213896,0.01301245,160,96
domain_adversarial_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.25622576,0.01202394,0.52428385,0.00979337,0.29164397,0.01200094,160,96
domain_adversarial_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.24898575,0.01344759,0.51757812,0.01120929,0.28440326,0.01342534,160,96
domain_adversarial_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.24961978,0.01274609,0.51809896,0.01061203,0.28504097,0.01272415,160,96
domain_adversarial_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.26256154,0.01280836,0.53033854,0.01075147,0.29799297,0.01278827,160,96
domain_adversarial_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.25648092,0.01285236,0.52460938,0.01072874,0.29191165,0.01283123,160,96
domain_adversarial_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.26606171,0.01247463,0.53352865,0.01042225,0.30148736,0.01245636,160,96
domain_adversarial_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.26339647,0.01290407,0.52994792,0.01071692,0.29879996,0.01288610,160,96
domain_adversarial_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.25449760,0.01315288,0.52187500,0.01090553,0.28990477,0.01313175,160,96
domain_adversarial_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.25463505,0.01254005,0.52200521,0.01045414,0.29004152,0.01252309,160,96
domain_adversarial_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.25672225,0.01303171,0.52441406,0.01096673,0.29213896,0.01301245,160,96
domain_adversarial_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.25622576,0.01202394,0.52428385,0.00979337,0.29164397,0.01200094,160,96
domain_adversarial_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.24898575,0.01344759,0.51757812,0.01120929,0.28440326,0.01342534,160,96
domain_adversarial_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.24961978,0.01274609,0.51809896,0.01061203,0.28504097,0.01272415,160,96
domain_adversarial_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.26256154,0.01280836,0.53033854,0.01075147,0.29799297,0.01278827,160,96
domain_adversarial_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.25648092,0.01285236,0.52460938,0.01072874,0.29191165,0.01283123,160,96
domain_adversarial_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.26606171,0.01247463,0.53352865,0.01042225,0.30148736,0.01245636,160,96
failure_mining_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,-0.04141450,0.01608910,0.38938802,0.01316755,-0.00354764,0.01606500,160,96
failure_mining_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,-0.03948654,0.01715155,0.39101562,0.01416047,-0.00161529,0.01712577,160,96
failure_mining_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,-0.04687119,0.01525408,0.38417969,0.01247423,-0.00899994,0.01523172,160,96
failure_mining_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,-0.03614693,0.01512548,0.39433594,0.01235873,0.00172651,0.01510093,160,96
failure_mining_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,-0.03650876,0.01483750,0.39401042,0.01210515,0.00135374,0.01481612,160,96
failure_mining_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,-0.04361523,0.01516197,0.38730469,0.01230162,-0.00575492,0.01513820,160,96
failure_mining_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,-0.03899077,0.01522254,0.39199219,0.01239550,-0.00112607,0.01519678,160,96
failure_mining_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,-0.04402485,0.01583134,0.38684896,0.01293100,-0.00616453,0.01580746,160,96
failure_mining_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,-0.03774008,0.01592777,0.39244792,0.01298419,0.00013119,0.01590319,160,96
failure_mining_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,-0.04207276,0.01459623,0.38815104,0.01188377,-0.00420806,0.01457449,160,96
failure_mining_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,-0.04141450,0.01608910,0.38938802,0.01316755,-0.00354764,0.01606500,160,96
failure_mining_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,-0.03948654,0.01715155,0.39101562,0.01416047,-0.00161529,0.01712577,160,96
failure_mining_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,-0.04687119,0.01525408,0.38417969,0.01247423,-0.00899994,0.01523172,160,96
failure_mining_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,-0.03614693,0.01512548,0.39433594,0.01235873,0.00172651,0.01510093,160,96
failure_mining_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,-0.03650876,0.01483750,0.39401042,0.01210515,0.00135374,0.01481612,160,96
failure_mining_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,-0.04361523,0.01516197,0.38730469,0.01230162,-0.00575492,0.01513820,160,96
failure_mining_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,-0.03899077,0.01522254,0.39199219,0.01239550,-0.00112607,0.01519678,160,96
failure_mining_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,-0.04402485,0.01583134,0.38684896,0.01293100,-0.00616453,0.01580746,160,96
failure_mining_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,-0.03774008,0.01592777,0.39244792,0.01298419,0.00013119,0.01590319,160,96
failure_mining_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,-0.04207276,0.01459623,0.38815104,0.01188377,-0.00420806,0.01457449,160,96
foundation_embedding_filter,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.18689851,0.01623570,0.47877604,0.01333450,0.22193788,0.01620987,160,96
foundation_embedding_filter,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.19416675,0.01495513,0.48554687,0.01225640,0.22919886,0.01493168,160,96
foundation_embedding_filter,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.19107198,0.01320865,0.48235677,0.01078739,0.22609901,0.01318675,160,96
foundation_embedding_filter,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.18746588,0.01506693,0.47903646,0.01243030,0.22249659,0.01504262,160,96
foundation_embedding_filter,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.19463806,0.01464055,0.48567708,0.01204708,0.22967464,0.01461843,160,96
foundation_embedding_filter,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.18855610,0.01400728,0.47962240,0.01136196,0.22358322,0.01398404,160,96
foundation_embedding_filter,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.19360000,0.01463391,0.48444010,0.01198743,0.22862861,0.01461033,160,96
foundation_embedding_filter,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.19329616,0.01506435,0.48437500,0.01241317,0.22833064,0.01504205,160,96
foundation_embedding_filter,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.19009272,0.01627997,0.48170573,0.01354040,0.22512869,0.01625839,160,96
foundation_embedding_filter,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.18858886,0.01408997,0.48053385,0.01153624,0.22363289,0.01406693,160,96
foundation_embedding_filter,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.18689851,0.01623570,0.47877604,0.01333450,0.22193788,0.01620987,160,96
foundation_embedding_filter,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.19416675,0.01495513,0.48554687,0.01225640,0.22919886,0.01493168,160,96
foundation_embedding_filter,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.19107198,0.01320865,0.48235677,0.01078739,0.22609901,0.01318675,160,96
foundation_embedding_filter,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.18746588,0.01506693,0.47903646,0.01243030,0.22249659,0.01504262,160,96
foundation_embedding_filter,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.19463806,0.01464055,0.48567708,0.01204708,0.22967464,0.01461843,160,96
foundation_embedding_filter,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.18855610,0.01400728,0.47962240,0.01136196,0.22358322,0.01398404,160,96
foundation_embedding_filter,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.19360000,0.01463391,0.48444010,0.01198743,0.22862861,0.01461033,160,96
foundation_embedding_filter,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.19329616,0.01506435,0.48437500,0.01241317,0.22833064,0.01504205,160,96
foundation_embedding_filter,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.19009272,0.01627997,0.48170573,0.01354040,0.22512869,0.01625839,160,96
foundation_embedding_filter,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.18858886,0.01408997,0.48053385,0.01153624,0.22363289,0.01406693,160,96
influence_function_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.14805556,0.01566377,0.47226563,0.01302871,0.18417074,0.01564248,160,96
influence_function_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.14888962,0.01456493,0.47311198,0.01188374,0.18501506,0.01453945,160,96
influence_function_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.14455629,0.01497075,0.46907552,0.01229969,0.18068759,0.01494662,160,96
influence_function_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.14015337,0.01434079,0.46503906,0.01171974,0.17628616,0.01431730,160,96
influence_function_selector,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.14788927,0.01417787,0.47213542,0.01166116,0.18401698,0.01415682,160,96
influence_function_selector,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.14573788,0.01375553,0.46992187,0.01118265,0.18185396,0.01373335,160,96
influence_function_selector,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.14458820,0.01386957,0.46861979,0.01132099,0.18069482,0.01384826,160,96
influence_function_selector,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.14446148,0.01342158,0.46835938,0.01095603,0.18055646,0.01340094,160,96
influence_function_selector,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.14379869,0.01462406,0.46777344,0.01203762,0.17989953,0.01460112,160,96
influence_function_selector,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.14530656,0.01439043,0.46914062,0.01191186,0.18141765,0.01436753,160,96
influence_function_selector,0.10000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.14805556,0.01566377,0.47226563,0.01302871,0.18417074,0.01564248,160,96
influence_function_selector,0.10000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.14888962,0.01456493,0.47311198,0.01188374,0.18501506,0.01453945,160,96
influence_function_selector,0.10000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.14455629,0.01497075,0.46907552,0.01229969,0.18068759,0.01494662,160,96
influence_function_selector,0.10000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.14015337,0.01434079,0.46503906,0.01171974,0.17628616,0.01431730,160,96
influence_function_selector,0.10000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.14788927,0.01417787,0.47213542,0.01166116,0.18401698,0.01415682,160,96
influence_function_selector,0.10000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.14573788,0.01375553,0.46992187,0.01118265,0.18185396,0.01373335,160,96
influence_function_selector,0.10000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.14458820,0.01386957,0.46861979,0.01132099,0.18069482,0.01384826,160,96
influence_function_selector,0.10000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.14446148,0.01342158,0.46835938,0.01095603,0.18055646,0.01340094,160,96
influence_function_selector,0.10000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.14379869,0.01462406,0.46777344,0.01203762,0.17989953,0.01460112,160,96
influence_function_selector,0.10000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.14530656,0.01439043,0.46914062,0.01191186,0.18141765,0.01436753,160,96
interventional_mechanism_value_selector_v5,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.60369173,0.01057272,0.69238281,0.00898211,0.63523778,0.01055595,160,96
interventional_mechanism_value_selector_v5,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.60531384,0.01019305,0.69375000,0.00863667,0.63685218,0.01017520,160,96
interventional_mechanism_value_selector_v5,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.60641095,0.01069052,0.69505208,0.00907833,0.63796129,0.01067453,160,96
interventional_mechanism_value_selector_v5,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.60838598,0.01079117,0.69694010,0.00932029,0.63993300,0.01077707,160,96
interventional_mechanism_value_selector_v5,0.05000000,4,0.00000000,0.00000000,0.00000000,0.00000000,0.61247391,0.01110000,0.70013021,0.00951445,0.64401104,0.01108255,160,96
interventional_mechanism_value_selector_v5,0.05000000,5,0.00000000,0.00000000,0.00000000,0.00000000,0.60462534,0.01054992,0.69290365,0.00894564,0.63616353,0.01053323,160,96
interventional_mechanism_value_selector_v5,0.05000000,6,0.00000000,0.00000000,0.00000000,0.00000000,0.61183632,0.01012530,0.69967448,0.00861962,0.64337118,0.01010936,160,96
interventional_mechanism_value_selector_v5,0.05000000,7,0.00000000,0.00000000,0.00000000,0.00000000,0.60344017,0.00984105,0.69212240,0.00838553,0.63496952,0.00982733,160,96
interventional_mechanism_value_selector_v5,0.05000000,8,0.00000000,0.00000000,0.00000000,0.00000000,0.61219583,0.01078559,0.69986979,0.00913812,0.64372624,0.01077005,160,96
interventional_mechanism_value_selector_v5,0.05000000,9,0.00000000,0.00000000,0.00000000,0.00000000,0.60620035,0.01026951,0.69466146,0.00868395,0.63774056,0.01025289,160,96
interventional_mechanism_value_selector_v5,0.10000000,0,0.53125000,0.07756711,0.00000000,0.00000000,0.62037396,0.01211849,0.69238281,0.00898211,0.63523778,0.01055595,160,96
interventional_mechanism_value_selector_v5,0.10000000,1,0.58750000,0.07651973,0.00000000,0.00000000,0.62376552,0.01171931,0.69375000,0.00863667,0.63685218,0.01017520,160,96
interventional_mechanism_value_selector_v5,0.10000000,2,0.55625000,0.07722567,0.00000000,0.00000000,0.62388184,0.01234613,0.69505208,0.00907833,0.63796129,0.01067453,160,96
interventional_mechanism_value_selector_v5,0.10000000,3,0.55625000,0.07722567,0.00000000,0.00000000,0.62585742,0.01220535,0.69694010,0.00932029,0.63993300,0.01077707,160,96
interventional_mechanism_value_selector_v5,0.10000000,4,0.55625000,0.07722567,0.00000000,0.00000000,0.62993557,0.01269720,0.70013021,0.00951445,0.64401104,0.01108255,160,96
interventional_mechanism_value_selector_v5,0.10000000,5,0.55625000,0.07722567,0.00000000,0.00000000,0.62208753,0.01201828,0.69290365,0.00894564,0.63616353,0.01053323,160,96
interventional_mechanism_value_selector_v5,0.10000000,6,0.58125000,0.07668606,0.00000000,0.00000000,0.63008595,0.01160748,0.69967448,0.00861962,0.64337118,0.01010936,160,96
interventional_mechanism_value_selector_v5,0.10000000,7,0.55000000,0.07732948,0.00000000,0.00000000,0.62070666,0.01149122,0.69212240,0.00838553,0.63496952,0.00982733,160,96
interventional_mechanism_value_selector_v5,0.10000000,8,0.55625000,0.07722567,0.00000000,0.00000000,0.62965103,0.01219339,0.69986979,0.00913812,0.64372624,0.01077005,160,96
interventional_mechanism_value_selector_v5,0.10000000,9,0.55000000,0.07732948,0.00000000,0.00000000,0.62346657,0.01188958,0.69466146,0.00868395,0.63774056,0.01025289,160,96
invariant_risk_selector,0.05000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.25106229,0.01376419,0.51438802,0.01137137,0.28622361,0.01374199,160,96
invariant_risk_selector,0.05000000,1,0.00000000,0.00000000,0.00000000,0.00000000,0.25954229,0.01239907,0.52239583,0.01010379,0.29470361,0.01237857,160,96
invariant_risk_selector,0.05000000,2,0.00000000,0.00000000,0.00000000,0.00000000,0.25764348,0.01319313,0.52044271,0.01085838,0.29280262,0.01317180,160,96
invariant_risk_selector,0.05000000,3,0.00000000,0.00000000,0.00000000,0.00000000,0.25567742,0.01392843,0.51829427,0.01153429,0.29084750,0.01390506,160,96
