ablation,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
classifier_only_selector,0.56312500,0.00472059,0.39686995,0.00564636,0.64864446,0.00067039,0.21181472,0.00103040,0.11263399,0.00047953,0.06648892,0.00027792,0.16111016,0.00026415,0.15194234,0.00066374,800,96
failure_only_selector,0.54368490,0.00484291,0.34479705,0.00583781,0.63903438,0.00068302,0.22228738,0.00107638,0.12950880,0.00048046,0.07591271,0.00028143,0.18532397,0.00027141,0.15957967,0.00068844,800,96
full_interventional_mechanism_value_selector_v5,0.69488281,0.00382687,0.63831447,0.00449581,0.73842680,0.00066667,0.12693592,0.00073903,0.07544590,0.00044781,0.04599191,0.00024888,0.17166951,0.00026892,0.10730902,0.00053003,800,96
minus_calibration_guard,0.66385417,0.00394737,0.58020697,0.00463309,0.72744119,0.00066455,0.14478442,0.00079949,0.08825106,0.00045662,0.05292865,0.00024633,0.16769612,0.00026073,0.11812920,0.00054830,800,96
minus_cost_constraint,0.67356771,0.00412740,0.58580615,0.00478608,0.72733798,0.00065403,0.13966572,0.00078849,0.08470336,0.00045672,0.05087972,0.00024617,0.22786451,0.00026740,0.11506844,0.00056918,800,96
minus_counterfactual_pairs,0.63960938,0.00417575,0.53483988,0.00493673,0.70148485,0.00066463,0.16051301,0.00085661,0.09359309,0.00045506,0.05584658,0.00025663,0.17016304,0.00027571,0.12604466,0.00058793,800,96
minus_interventional_contrast,0.64484375,0.00400780,0.54494791,0.00478019,0.67960533,0.00068501,0.15198118,0.00082961,0.08779836,0.00045615,0.05294874,0.00025032,0.16980977,0.00026905,0.12733684,0.00056996,800,96
minus_mechanism_coverage,0.65276042,0.00399422,0.56340553,0.00469325,0.68772610,0.00066692,0.14661454,0.00080552,0.08348969,0.00045512,0.05051562,0.00024734,0.16746251,0.00027299,0.12380559,0.00055316,800,96
minus_spurious_penalty,0.61744792,0.00441155,0.50103595,0.00528053,0.71984954,0.00065062,0.19905454,0.00099554,0.09247238,0.00047572,0.05554749,0.00026034,0.16787316,0.00026249,0.12734135,0.00061832,800,96
minus_tail_failure_value,0.66664062,0.00412291,0.55771246,0.00485167,0.72288233,0.00066728,0.14249665,0.00079419,0.11092185,0.00046430,0.06542270,0.00025123,0.16386754,0.00026376,0.11978829,0.00058865,800,96
