baseline,mean_utility_diff,ci95_utility_diff,mean_success_diff,ci95_success_diff,paired_utility_wins,paired_success_wins,non_oracle
conformal_shift_guard_selector,0.29880521,0.00288336,0.16008464,0.00263512,10,10,True
counterfactual_pair_selector,0.28618925,0.00198580,0.14074870,0.00195451,10,10,True
diversity_coreset_selector,0.65824854,0.00269760,0.32475260,0.00248352,10,10,True
domain_adversarial_selector,0.34178186,0.00341085,0.16575521,0.00315113,10,10,True
failure_mining_selector,0.63165297,0.00309200,0.29475911,0.00280073,10,10,True
foundation_embedding_filter,0.40858608,0.00439427,0.20787760,0.00416167,10,10,True
influence_function_selector,0.45323559,0.00377569,0.22113932,0.00356501,10,10,True
invariant_risk_selector,0.34257146,0.00372068,0.17119141,0.00355557,10,10,True
label_balanced_selector,0.81500188,0.00320342,0.40363932,0.00333270,10,10,True
offline_rl_value_selector,0.33265893,0.00352262,0.16281250,0.00326842,10,10,True
oracle_interventional_selector,-0.21094745,0.00178468,-0.10706380,0.00176006,0,0,False
proposed_causal_mechanism_selector_v4,0.18154825,0.00335020,0.08841146,0.00310503,10,10,True
random_uniform_selector,0.87884243,0.00220020,0.45715495,0.00289320,10,10,True
tail_risk_reweighting_selector,0.31201936,0.00223191,0.16277344,0.00224169,10,10,True
uncertainty_active_selector,0.50407806,0.00462957,0.24460937,0.00438305,10,10,True
