method,seed,metric,mean,ci95,groups
diversity_coreset_selector,5,damage_rate,0.09216285,0.00045148,640
diversity_coreset_selector,5,selection_cost,0.19389067,0.00052518,640
diversity_coreset_selector,5,regret,0.26374008,0.00124810,640
diversity_coreset_selector,6,success_rate,0.48938802,0.00885311,640
diversity_coreset_selector,6,utility,0.13086792,0.01102822,640
diversity_coreset_selector,6,causal_mechanism_recall,0.46167974,0.00084048,640
diversity_coreset_selector,6,spurious_dependence_rate,0.36744345,0.00229630,640
diversity_coreset_selector,6,tail_failure_rate,0.14852505,0.00077011,640
diversity_coreset_selector,6,damage_rate,0.09223124,0.00045773,640
diversity_coreset_selector,6,selection_cost,0.19399267,0.00051979,640
diversity_coreset_selector,6,regret,0.26419624,0.00125216,640
diversity_coreset_selector,7,success_rate,0.49526367,0.00865817,640
diversity_coreset_selector,7,utility,0.13721066,0.01078454,640
diversity_coreset_selector,7,causal_mechanism_recall,0.46154395,0.00083710,640
diversity_coreset_selector,7,spurious_dependence_rate,0.36747038,0.00228550,640
diversity_coreset_selector,7,tail_failure_rate,0.14820168,0.00077018,640
diversity_coreset_selector,7,damage_rate,0.09209150,0.00044421,640
diversity_coreset_selector,7,selection_cost,0.19398211,0.00051837,640
diversity_coreset_selector,7,regret,0.26347521,0.00121349,640
diversity_coreset_selector,8,success_rate,0.48707682,0.00881649,640
diversity_coreset_selector,8,utility,0.12849394,0.01098531,640
diversity_coreset_selector,8,causal_mechanism_recall,0.46182399,0.00084330,640
diversity_coreset_selector,8,spurious_dependence_rate,0.36744103,0.00228469,640
diversity_coreset_selector,8,tail_failure_rate,0.14851065,0.00077680,640
diversity_coreset_selector,8,damage_rate,0.09227933,0.00044826,640
diversity_coreset_selector,8,selection_cost,0.19389652,0.00051638,640
diversity_coreset_selector,8,regret,0.26449171,0.00123679,640
diversity_coreset_selector,9,success_rate,0.49422201,0.00901434,640
diversity_coreset_selector,9,utility,0.13605554,0.01118684,640
diversity_coreset_selector,9,causal_mechanism_recall,0.46175386,0.00084472,640
diversity_coreset_selector,9,spurious_dependence_rate,0.36752423,0.00229758,640
diversity_coreset_selector,9,tail_failure_rate,0.14835143,0.00078211,640
diversity_coreset_selector,9,damage_rate,0.09214010,0.00045348,640
diversity_coreset_selector,9,selection_cost,0.19381092,0.00051389,640
diversity_coreset_selector,9,regret,0.26361246,0.00126624,640
domain_adversarial_selector,0,success_rate,0.60476888,0.00631755,640
domain_adversarial_selector,0,utility,0.39661343,0.00790792,640
domain_adversarial_selector,0,causal_mechanism_recall,0.58989753,0.00081999,640
domain_adversarial_selector,0,spurious_dependence_rate,0.22571182,0.00168683,640
domain_adversarial_selector,0,tail_failure_rate,0.11265908,0.00067044,640
domain_adversarial_selector,0,damage_rate,0.06933313,0.00037873,640
domain_adversarial_selector,0,selection_cost,0.21384633,0.00051325,640
domain_adversarial_selector,0,regret,0.19050415,0.00089540,640
domain_adversarial_selector,1,success_rate,0.60366211,0.00661442,640
domain_adversarial_selector,1,utility,0.39526818,0.00823109,640
domain_adversarial_selector,1,causal_mechanism_recall,0.59007514,0.00082199,640
domain_adversarial_selector,1,spurious_dependence_rate,0.22581978,0.00169341,640
domain_adversarial_selector,1,tail_failure_rate,0.11275236,0.00067750,640
domain_adversarial_selector,1,damage_rate,0.06942456,0.00038194,640
domain_adversarial_selector,1,selection_cost,0.21393982,0.00051531,640
domain_adversarial_selector,1,regret,0.19075155,0.00092783,640
domain_adversarial_selector,2,success_rate,0.60213216,0.00658470,640
domain_adversarial_selector,2,utility,0.39376196,0.00818844,640
domain_adversarial_selector,2,causal_mechanism_recall,0.58999012,0.00081833,640
domain_adversarial_selector,2,spurious_dependence_rate,0.22570263,0.00169682,640
domain_adversarial_selector,2,tail_failure_rate,0.11272472,0.00066827,640
domain_adversarial_selector,2,damage_rate,0.06942477,0.00038643,640
domain_adversarial_selector,2,selection_cost,0.21375818,0.00051251,640
domain_adversarial_selector,2,regret,0.19099595,0.00092989,640
domain_adversarial_selector,3,success_rate,0.60179036,0.00630914,640
domain_adversarial_selector,3,utility,0.39313778,0.00789684,640
domain_adversarial_selector,3,causal_mechanism_recall,0.58981756,0.00083089,640
domain_adversarial_selector,3,spurious_dependence_rate,0.22586687,0.00168715,640
domain_adversarial_selector,3,tail_failure_rate,0.11270964,0.00066368,640
domain_adversarial_selector,3,damage_rate,0.06957198,0.00038794,640
domain_adversarial_selector,3,selection_cost,0.21383917,0.00051826,640
domain_adversarial_selector,3,regret,0.19119285,0.00090033,640
domain_adversarial_selector,4,success_rate,0.59959310,0.00642527,640
domain_adversarial_selector,4,utility,0.39053188,0.00805303,640
domain_adversarial_selector,4,causal_mechanism_recall,0.58966689,0.00084437,640
domain_adversarial_selector,4,spurious_dependence_rate,0.22601235,0.00167716,640
domain_adversarial_selector,4,tail_failure_rate,0.11283706,0.00067670,640
domain_adversarial_selector,4,damage_rate,0.06971079,0.00039062,640
domain_adversarial_selector,4,selection_cost,0.21397018,0.00052100,640
domain_adversarial_selector,4,regret,0.19152545,0.00091776,640
domain_adversarial_selector,5,success_rate,0.60152995,0.00663116,640
domain_adversarial_selector,5,utility,0.39269008,0.00825913,640
domain_adversarial_selector,5,causal_mechanism_recall,0.58971319,0.00083890,640
domain_adversarial_selector,5,spurious_dependence_rate,0.22606404,0.00167506,640
domain_adversarial_selector,5,tail_failure_rate,0.11274935,0.00069083,640
domain_adversarial_selector,5,damage_rate,0.06957298,0.00039312,640
domain_adversarial_selector,5,selection_cost,0.21398864,0.00051650,640
domain_adversarial_selector,5,regret,0.19110245,0.00093786,640
domain_adversarial_selector,6,success_rate,0.60125326,0.00647263,640
domain_adversarial_selector,6,utility,0.39256525,0.00810206,640
domain_adversarial_selector,6,causal_mechanism_recall,0.58980326,0.00084215,640
domain_adversarial_selector,6,spurious_dependence_rate,0.22604068,0.00168026,640
domain_adversarial_selector,6,tail_failure_rate,0.11271269,0.00069420,640
domain_adversarial_selector,6,damage_rate,0.06950175,0.00039155,640
domain_adversarial_selector,6,selection_cost,0.21386952,0.00050578,640
domain_adversarial_selector,6,regret,0.19113060,0.00092485,640
domain_adversarial_selector,7,success_rate,0.60488281,0.00653314,640
domain_adversarial_selector,7,utility,0.39629486,0.00812287,640
domain_adversarial_selector,7,causal_mechanism_recall,0.58963069,0.00085157,640
domain_adversarial_selector,7,spurious_dependence_rate,0.22584850,0.00167588,640
domain_adversarial_selector,7,tail_failure_rate,0.11271501,0.00068698,640
domain_adversarial_selector,7,damage_rate,0.06958462,0.00039375,640
domain_adversarial_selector,7,selection_cost,0.21380044,0.00050673,640
domain_adversarial_selector,7,regret,0.19075778,0.00092909,640
domain_adversarial_selector,8,success_rate,0.60493164,0.00640127,640
domain_adversarial_selector,8,utility,0.39629660,0.00801275,640
domain_adversarial_selector,8,causal_mechanism_recall,0.58948002,0.00083802,640
domain_adversarial_selector,8,spurious_dependence_rate,0.22599398,0.00167698,640
domain_adversarial_selector,8,tail_failure_rate,0.11257495,0.00068471,640
domain_adversarial_selector,8,damage_rate,0.06959190,0.00039406,640
domain_adversarial_selector,8,selection_cost,0.21379388,0.00050908,640
domain_adversarial_selector,8,regret,0.19094549,0.00091539,640
domain_adversarial_selector,9,success_rate,0.60917969,0.00649376,640
domain_adversarial_selector,9,utility,0.40079490,0.00805690,640
domain_adversarial_selector,9,causal_mechanism_recall,0.58952632,0.00083588,640
domain_adversarial_selector,9,spurious_dependence_rate,0.22597062,0.00167960,640
domain_adversarial_selector,9,tail_failure_rate,0.11249009,0.00068488,640
domain_adversarial_selector,9,damage_rate,0.06954889,0.00038068,640
domain_adversarial_selector,9,selection_cost,0.21378732,0.00050692,640
domain_adversarial_selector,9,regret,0.19046080,0.00090737,640
failure_mining_selector,0,success_rate,0.51318359,0.00866829,640
failure_mining_selector,0,utility,0.15017222,0.01076523,640
failure_mining_selector,0,causal_mechanism_recall,0.49159233,0.00083084,640
failure_mining_selector,0,spurious_dependence_rate,0.34942926,0.00222375,640
failure_mining_selector,0,tail_failure_rate,0.16399792,0.00076715,640
failure_mining_selector,0,damage_rate,0.10242200,0.00044756,640
failure_mining_selector,0,selection_cost,0.21245904,0.00052160,640
failure_mining_selector,0,regret,0.25233855,0.00121179,640
failure_mining_selector,1,success_rate,0.51331380,0.00844782,640
failure_mining_selector,1,utility,0.15021624,0.01049750,640
failure_mining_selector,1,causal_mechanism_recall,0.49156685,0.00083949,640
failure_mining_selector,1,spurious_dependence_rate,0.34958826,0.00221571,640
failure_mining_selector,1,tail_failure_rate,0.16409006,0.00075614,640
failure_mining_selector,1,damage_rate,0.10236347,0.00043234,640
failure_mining_selector,1,selection_cost,0.21248650,0.00051177,640
failure_mining_selector,1,regret,0.25228716,0.00119455,640
failure_mining_selector,2,success_rate,0.51272786,0.00889083,640
failure_mining_selector,2,utility,0.14967774,0.01099300,640
failure_mining_selector,2,causal_mechanism_recall,0.49160704,0.00082982,640
failure_mining_selector,2,spurious_dependence_rate,0.34940959,0.00220883,640
failure_mining_selector,2,tail_failure_rate,0.16412832,0.00076369,640
failure_mining_selector,2,damage_rate,0.10242107,0.00043941,640
failure_mining_selector,2,selection_cost,0.21243894,0.00051685,640
failure_mining_selector,2,regret,0.25226940,0.00122714,640
failure_mining_selector,3,success_rate,0.51236979,0.00822065,640
failure_mining_selector,3,utility,0.14949777,0.01024899,640
failure_mining_selector,3,causal_mechanism_recall,0.49184419,0.00083831,640
failure_mining_selector,3,spurious_dependence_rate,0.34932472,0.00220165,640
failure_mining_selector,3,tail_failure_rate,0.16410077,0.00074635,640
failure_mining_selector,3,damage_rate,0.10238476,0.00043311,640
failure_mining_selector,3,selection_cost,0.21231633,0.00050922,640
failure_mining_selector,3,regret,0.25232611,0.00114872,640
failure_mining_selector,4,success_rate,0.51438802,0.00840721,640
failure_mining_selector,4,utility,0.15159829,0.01047689,640
failure_mining_selector,4,causal_mechanism_recall,0.49190627,0.00083391,640
failure_mining_selector,4,spurious_dependence_rate,0.34914605,0.00221297,640
failure_mining_selector,4,tail_failure_rate,0.16411093,0.00075395,640
failure_mining_selector,4,damage_rate,0.10245633,0.00042878,640
failure_mining_selector,4,selection_cost,0.21229377,0.00051409,640
failure_mining_selector,4,regret,0.25204018,0.00119068,640
failure_mining_selector,5,success_rate,0.51609701,0.00886995,640
failure_mining_selector,5,utility,0.15333435,0.01096665,640
failure_mining_selector,5,causal_mechanism_recall,0.49194645,0.00083054,640
failure_mining_selector,5,spurious_dependence_rate,0.34921125,0.00221825,640
failure_mining_selector,5,tail_failure_rate,0.16398956,0.00076381,640
failure_mining_selector,5,damage_rate,0.10247995,0.00043026,640
failure_mining_selector,5,selection_cost,0.21237127,0.00051271,640
failure_mining_selector,5,regret,0.25199855,0.00122554,640
failure_mining_selector,6,success_rate,0.51502279,0.00852656,640
failure_mining_selector,6,utility,0.15212771,0.01060350,640
failure_mining_selector,6,causal_mechanism_recall,0.49200852,0.00082768,640
failure_mining_selector,6,spurious_dependence_rate,0.34933273,0.00220958,640
failure_mining_selector,6,tail_failure_rate,0.16409139,0.00076638,640
failure_mining_selector,6,damage_rate,0.10239297,0.00043367,640
failure_mining_selector,6,selection_cost,0.21241124,0.00051278,640
failure_mining_selector,6,regret,0.25219651,0.00117545,640
failure_mining_selector,7,success_rate,0.51655273,0.00880376,640
failure_mining_selector,7,utility,0.15380013,0.01088003,640
failure_mining_selector,7,causal_mechanism_recall,0.49187362,0.00082214,640
failure_mining_selector,7,spurious_dependence_rate,0.34939794,0.00221391,640
failure_mining_selector,7,tail_failure_rate,0.16398789,0.00076649,640
failure_mining_selector,7,damage_rate,0.10230832,0.00044235,640
failure_mining_selector,7,selection_cost,0.21248874,0.00050903,640
failure_mining_selector,7,regret,0.25188742,0.00122081,640
failure_mining_selector,8,success_rate,0.51648763,0.00854744,640
failure_mining_selector,8,utility,0.15377724,0.01060218,640
failure_mining_selector,8,causal_mechanism_recall,0.49165117,0.00082395,640
failure_mining_selector,8,spurious_dependence_rate,0.34944438,0.00219723,640
failure_mining_selector,8,tail_failure_rate,0.16393153,0.00076716,640
failure_mining_selector,8,damage_rate,0.10221735,0.00043499,640
failure_mining_selector,8,selection_cost,0.21261625,0.00051005,640
failure_mining_selector,8,regret,0.25183774,0.00119279,640
failure_mining_selector,9,success_rate,0.51077474,0.00859475,640
failure_mining_selector,9,utility,0.14785376,0.01064688,640
failure_mining_selector,9,causal_mechanism_recall,0.49166947,0.00082502,640
failure_mining_selector,9,spurious_dependence_rate,0.34922819,0.00219513,640
failure_mining_selector,9,tail_failure_rate,0.16392207,0.00075409,640
failure_mining_selector,9,damage_rate,0.10241373,0.00043897,640
failure_mining_selector,9,selection_cost,0.21260620,0.00050844,640
failure_mining_selector,9,regret,0.25238463,0.00119263,640
foundation_embedding_filter,0,success_rate,0.58712565,0.00805625,640
foundation_embedding_filter,0,utility,0.35780493,0.01000100,640
foundation_embedding_filter,0,causal_mechanism_recall,0.60457169,0.00083184,640
foundation_embedding_filter,0,spurious_dependence_rate,0.28510022,0.00202404,640
foundation_embedding_filter,0,tail_failure_rate,0.11455909,0.00074418,640
foundation_embedding_filter,0,damage_rate,0.07307272,0.00042443,640
foundation_embedding_filter,0,selection_cost,0.18551026,0.00051417,640
foundation_embedding_filter,0,regret,0.18711963,0.00112106,640
foundation_embedding_filter,1,success_rate,0.59085286,0.00782731,640
foundation_embedding_filter,1,utility,0.36187243,0.00970328,640
foundation_embedding_filter,1,causal_mechanism_recall,0.60479307,0.00081222,640
