method,seed,metric,mean,ci95,groups
conformal_shift_guard_selector,0,success_rate,0.60608724,0.00652090,640
conformal_shift_guard_selector,0,utility,0.43402040,0.00805303,640
conformal_shift_guard_selector,0,causal_mechanism_recall,0.60164487,0.00083372,640
conformal_shift_guard_selector,0,spurious_dependence_rate,0.20368207,0.00162892,640
conformal_shift_guard_selector,0,tail_failure_rate,0.08886484,0.00067678,640
conformal_shift_guard_selector,0,damage_rate,0.05561359,0.00038333,640
conformal_shift_guard_selector,0,selection_cost,0.23753354,0.00051330,640
conformal_shift_guard_selector,0,regret,0.19270039,0.00091932,640
conformal_shift_guard_selector,1,success_rate,0.60841471,0.00621144,640
conformal_shift_guard_selector,1,utility,0.43662325,0.00773081,640
conformal_shift_guard_selector,1,causal_mechanism_recall,0.60166840,0.00085286,640
conformal_shift_guard_selector,1,spurious_dependence_rate,0.20360168,0.00162705,640
conformal_shift_guard_selector,1,tail_failure_rate,0.08873487,0.00067074,640
conformal_shift_guard_selector,1,damage_rate,0.05551336,0.00038156,640
conformal_shift_guard_selector,1,selection_cost,0.23763903,0.00050993,640
conformal_shift_guard_selector,1,regret,0.19244117,0.00087659,640
conformal_shift_guard_selector,2,success_rate,0.60395508,0.00622948,640
conformal_shift_guard_selector,2,utility,0.43185859,0.00778167,640
conformal_shift_guard_selector,2,causal_mechanism_recall,0.60188890,0.00085568,640
conformal_shift_guard_selector,2,spurious_dependence_rate,0.20354005,0.00162843,640
conformal_shift_guard_selector,2,tail_failure_rate,0.08880923,0.00067145,640
conformal_shift_guard_selector,2,damage_rate,0.05567296,0.00038439,640
conformal_shift_guard_selector,2,selection_cost,0.23775703,0.00050755,640
conformal_shift_guard_selector,2,regret,0.19307980,0.00088858,640
conformal_shift_guard_selector,3,success_rate,0.61036784,0.00636235,640
conformal_shift_guard_selector,3,utility,0.43863300,0.00790805,640
conformal_shift_guard_selector,3,causal_mechanism_recall,0.60191242,0.00086130,640
conformal_shift_guard_selector,3,spurious_dependence_rate,0.20364725,0.00162656,640
conformal_shift_guard_selector,3,tail_failure_rate,0.08858885,0.00066343,640
conformal_shift_guard_selector,3,damage_rate,0.05562221,0.00039049,640
conformal_shift_guard_selector,3,selection_cost,0.23787503,0.00050670,640
conformal_shift_guard_selector,3,regret,0.19222394,0.00090364,640
conformal_shift_guard_selector,4,success_rate,0.60807292,0.00624004,640
conformal_shift_guard_selector,4,utility,0.43615983,0.00780529,640
conformal_shift_guard_selector,4,causal_mechanism_recall,0.60180463,0.00083922,640
conformal_shift_guard_selector,4,spurious_dependence_rate,0.20373570,0.00162204,640
conformal_shift_guard_selector,4,tail_failure_rate,0.08864149,0.00066438,640
conformal_shift_guard_selector,4,damage_rate,0.05566921,0.00038253,640
conformal_shift_guard_selector,4,selection_cost,0.23778042,0.00050770,640
conformal_shift_guard_selector,4,regret,0.19237125,0.00088354,640
conformal_shift_guard_selector,5,success_rate,0.60574544,0.00648737,640
conformal_shift_guard_selector,5,utility,0.43372045,0.00807579,640
conformal_shift_guard_selector,5,causal_mechanism_recall,0.60171873,0.00084022,640
conformal_shift_guard_selector,5,spurious_dependence_rate,0.20380538,0.00160607,640
conformal_shift_guard_selector,5,tail_failure_rate,0.08869439,0.00066705,640
conformal_shift_guard_selector,5,damage_rate,0.05561642,0.00038687,640
conformal_shift_guard_selector,5,selection_cost,0.23778587,0.00050322,640
conformal_shift_guard_selector,5,regret,0.19258330,0.00092084,640
conformal_shift_guard_selector,6,success_rate,0.60341797,0.00638813,640
conformal_shift_guard_selector,6,utility,0.43135231,0.00791878,640
conformal_shift_guard_selector,6,causal_mechanism_recall,0.60174226,0.00083853,640
conformal_shift_guard_selector,6,spurious_dependence_rate,0.20378127,0.00160360,640
conformal_shift_guard_selector,6,tail_failure_rate,0.08860616,0.00065707,640
conformal_shift_guard_selector,6,damage_rate,0.05560350,0.00038450,640
conformal_shift_guard_selector,6,selection_cost,0.23786635,0.00051186,640
conformal_shift_guard_selector,6,regret,0.19299715,0.00090094,640
conformal_shift_guard_selector,7,success_rate,0.61007487,0.00608449,640
conformal_shift_guard_selector,7,utility,0.43838212,0.00761448,640
conformal_shift_guard_selector,7,causal_mechanism_recall,0.60183144,0.00083951,640
conformal_shift_guard_selector,7,spurious_dependence_rate,0.20381343,0.00160302,640
conformal_shift_guard_selector,7,tail_failure_rate,0.08851317,0.00066432,640
conformal_shift_guard_selector,7,damage_rate,0.05552964,0.00038269,640
conformal_shift_guard_selector,7,selection_cost,0.23784678,0.00052442,640
conformal_shift_guard_selector,7,regret,0.19209800,0.00086828,640
conformal_shift_guard_selector,8,success_rate,0.60576172,0.00621393,640
conformal_shift_guard_selector,8,utility,0.43363239,0.00776023,640
conformal_shift_guard_selector,8,causal_mechanism_recall,0.60161422,0.00082517,640
conformal_shift_guard_selector,8,spurious_dependence_rate,0.20382684,0.00160425,640
conformal_shift_guard_selector,8,tail_failure_rate,0.08876108,0.00067169,640
conformal_shift_guard_selector,8,damage_rate,0.05562333,0.00038090,640
conformal_shift_guard_selector,8,selection_cost,0.23777719,0.00052113,640
conformal_shift_guard_selector,8,regret,0.19275034,0.00086379,640
conformal_shift_guard_selector,9,success_rate,0.60432943,0.00627034,640
conformal_shift_guard_selector,9,utility,0.43202528,0.00778692,640
conformal_shift_guard_selector,9,causal_mechanism_recall,0.60165964,0.00081228,640
conformal_shift_guard_selector,9,spurious_dependence_rate,0.20380273,0.00160842,640
conformal_shift_guard_selector,9,tail_failure_rate,0.08885860,0.00067165,640
conformal_shift_guard_selector,9,damage_rate,0.05566797,0.00037310,640
conformal_shift_guard_selector,9,selection_cost,0.23780764,0.00051845,640
conformal_shift_guard_selector,9,regret,0.19306703,0.00087682,640
counterfactual_pair_selector,0,success_rate,0.62423503,0.00620150,640
counterfactual_pair_selector,0,utility,0.44583511,0.00777829,640
counterfactual_pair_selector,0,causal_mechanism_recall,0.62496381,0.00082613,640
counterfactual_pair_selector,0,spurious_dependence_rate,0.21004011,0.00165254,640
counterfactual_pair_selector,0,tail_failure_rate,0.10241379,0.00067108,640
counterfactual_pair_selector,0,damage_rate,0.06321889,0.00037865,640
counterfactual_pair_selector,0,selection_cost,0.22101554,0.00051250,640
counterfactual_pair_selector,0,regret,0.17469676,0.00088930,640
counterfactual_pair_selector,1,success_rate,0.62591146,0.00641681,640
counterfactual_pair_selector,1,utility,0.44753879,0.00801777,640
counterfactual_pair_selector,1,causal_mechanism_recall,0.62488579,0.00082575,640
counterfactual_pair_selector,1,spurious_dependence_rate,0.21009779,0.00164116,640
counterfactual_pair_selector,1,tail_failure_rate,0.10226309,0.00067969,640
counterfactual_pair_selector,1,damage_rate,0.06326119,0.00038601,640
counterfactual_pair_selector,1,selection_cost,0.22111304,0.00051668,640
counterfactual_pair_selector,1,regret,0.17459286,0.00091036,640
counterfactual_pair_selector,2,success_rate,0.62167969,0.00610254,640
counterfactual_pair_selector,2,utility,0.44284952,0.00762995,640
counterfactual_pair_selector,2,causal_mechanism_recall,0.62472023,0.00083565,640
counterfactual_pair_selector,2,spurious_dependence_rate,0.21013671,0.00162725,640
counterfactual_pair_selector,2,tail_failure_rate,0.10247651,0.00067034,640
counterfactual_pair_selector,2,damage_rate,0.06338133,0.00037818,640
counterfactual_pair_selector,2,selection_cost,0.22131058,0.00051149,640
counterfactual_pair_selector,2,regret,0.17501923,0.00086296,640
counterfactual_pair_selector,3,success_rate,0.62384440,0.00628473,640
counterfactual_pair_selector,3,utility,0.44516418,0.00783031,640
counterfactual_pair_selector,3,causal_mechanism_recall,0.62475164,0.00084373,640
counterfactual_pair_selector,3,spurious_dependence_rate,0.21025068,0.00161618,640
counterfactual_pair_selector,3,tail_failure_rate,0.10240083,0.00067875,640
counterfactual_pair_selector,3,damage_rate,0.06328279,0.00038040,640
counterfactual_pair_selector,3,selection_cost,0.22119547,0.00050637,640
counterfactual_pair_selector,3,regret,0.17482813,0.00088901,640
counterfactual_pair_selector,4,success_rate,0.62721354,0.00616090,640
counterfactual_pair_selector,4,utility,0.44856149,0.00769068,640
counterfactual_pair_selector,4,causal_mechanism_recall,0.62456419,0.00083507,640
counterfactual_pair_selector,4,spurious_dependence_rate,0.21036464,0.00162435,640
counterfactual_pair_selector,4,tail_failure_rate,0.10237657,0.00067583,640
counterfactual_pair_selector,4,damage_rate,0.06330322,0.00038075,640
counterfactual_pair_selector,4,selection_cost,0.22108035,0.00050389,640
counterfactual_pair_selector,4,regret,0.17445744,0.00087426,640
counterfactual_pair_selector,5,success_rate,0.62311198,0.00630641,640
counterfactual_pair_selector,5,utility,0.44438967,0.00785721,640
counterfactual_pair_selector,5,causal_mechanism_recall,0.62461749,0.00082398,640
counterfactual_pair_selector,5,spurious_dependence_rate,0.21017845,0.00163807,640
counterfactual_pair_selector,5,tail_failure_rate,0.10243996,0.00067824,640
counterfactual_pair_selector,5,damage_rate,0.06332041,0.00038365,640
counterfactual_pair_selector,5,selection_cost,0.22105279,0.00051362,640
counterfactual_pair_selector,5,regret,0.17496536,0.00089878,640
counterfactual_pair_selector,6,success_rate,0.62836914,0.00629453,640
counterfactual_pair_selector,6,utility,0.44993386,0.00787144,640
counterfactual_pair_selector,6,causal_mechanism_recall,0.62438627,0.00083329,640
counterfactual_pair_selector,6,spurious_dependence_rate,0.21016110,0.00163782,640
counterfactual_pair_selector,6,tail_failure_rate,0.10230404,0.00067644,640
counterfactual_pair_selector,6,damage_rate,0.06328529,0.00038956,640
counterfactual_pair_selector,6,selection_cost,0.22097519,0.00051207,640
counterfactual_pair_selector,6,regret,0.17426346,0.00089244,640
counterfactual_pair_selector,7,success_rate,0.62833659,0.00643666,640
counterfactual_pair_selector,7,utility,0.44988214,0.00799515,640
counterfactual_pair_selector,7,causal_mechanism_recall,0.62443957,0.00083287,640
counterfactual_pair_selector,7,spurious_dependence_rate,0.21025630,0.00163519,640
counterfactual_pair_selector,7,tail_failure_rate,0.10231859,0.00067908,640
counterfactual_pair_selector,7,damage_rate,0.06320636,0.00038136,640
counterfactual_pair_selector,7,selection_cost,0.22108519,0.00051239,640
counterfactual_pair_selector,7,regret,0.17432409,0.00089898,640
counterfactual_pair_selector,8,success_rate,0.62713216,0.00640848,640
counterfactual_pair_selector,8,utility,0.44840527,0.00792791,640
counterfactual_pair_selector,8,causal_mechanism_recall,0.62464607,0.00083464,640
counterfactual_pair_selector,8,spurious_dependence_rate,0.21016391,0.00163585,640
counterfactual_pair_selector,8,tail_failure_rate,0.10263630,0.00067001,640
counterfactual_pair_selector,8,damage_rate,0.06332592,0.00038206,640
counterfactual_pair_selector,8,selection_cost,0.22108264,0.00051967,640
counterfactual_pair_selector,8,regret,0.17448207,0.00090278,640
counterfactual_pair_selector,9,success_rate,0.62446289,0.00652817,640
counterfactual_pair_selector,9,utility,0.44588774,0.00812198,640
counterfactual_pair_selector,9,causal_mechanism_recall,0.62487446,0.00082295,640
counterfactual_pair_selector,9,spurious_dependence_rate,0.21003400,0.00165013,640
counterfactual_pair_selector,9,tail_failure_rate,0.10253379,0.00067548,640
counterfactual_pair_selector,9,damage_rate,0.06332090,0.00039136,640
counterfactual_pair_selector,9,selection_cost,0.22109259,0.00051355,640
counterfactual_pair_selector,9,regret,0.17463173,0.00091847,640
diversity_coreset_selector,0,success_rate,0.49181315,0.00892397,640
diversity_coreset_selector,0,utility,0.13350749,0.01104664,640
diversity_coreset_selector,0,causal_mechanism_recall,0.46170658,0.00083377,640
diversity_coreset_selector,0,spurious_dependence_rate,0.36743198,0.00228121,640
diversity_coreset_selector,0,tail_failure_rate,0.14830259,0.00076596,640
diversity_coreset_selector,0,damage_rate,0.09226441,0.00043476,640
diversity_coreset_selector,0,selection_cost,0.19385590,0.00051342,640
diversity_coreset_selector,0,regret,0.26400325,0.00122995,640
diversity_coreset_selector,1,success_rate,0.49365234,0.00878669,640
diversity_coreset_selector,1,utility,0.13556664,0.01090146,640
diversity_coreset_selector,1,causal_mechanism_recall,0.46159268,0.00083591,640
diversity_coreset_selector,1,spurious_dependence_rate,0.36719627,0.00228502,640
diversity_coreset_selector,1,tail_failure_rate,0.14824041,0.00076316,640
diversity_coreset_selector,1,damage_rate,0.09222077,0.00043699,640
diversity_coreset_selector,1,selection_cost,0.19377031,0.00051390,640
diversity_coreset_selector,1,regret,0.26376957,0.00121835,640
diversity_coreset_selector,2,success_rate,0.49098307,0.00880963,640
diversity_coreset_selector,2,utility,0.13258475,0.01092683,640
diversity_coreset_selector,2,causal_mechanism_recall,0.46171952,0.00082825,640
diversity_coreset_selector,2,spurious_dependence_rate,0.36726072,0.00228539,640
diversity_coreset_selector,2,tail_failure_rate,0.14843744,0.00076188,640
diversity_coreset_selector,2,damage_rate,0.09231677,0.00044000,640
diversity_coreset_selector,2,selection_cost,0.19379727,0.00051438,640
diversity_coreset_selector,2,regret,0.26415887,0.00122405,640
diversity_coreset_selector,3,success_rate,0.48964844,0.00877227,640
diversity_coreset_selector,3,utility,0.13144342,0.01087705,640
diversity_coreset_selector,3,causal_mechanism_recall,0.46208711,0.00082889,640
diversity_coreset_selector,3,spurious_dependence_rate,0.36706253,0.00227261,640
diversity_coreset_selector,3,tail_failure_rate,0.14854694,0.00076244,640
diversity_coreset_selector,3,damage_rate,0.09217865,0.00043880,640
diversity_coreset_selector,3,selection_cost,0.19392429,0.00052191,640
diversity_coreset_selector,3,regret,0.26407992,0.00121756,640
diversity_coreset_selector,4,success_rate,0.48785807,0.00892424,640
diversity_coreset_selector,4,utility,0.12943553,0.01107469,640
diversity_coreset_selector,4,causal_mechanism_recall,0.46201697,0.00084884,640
diversity_coreset_selector,4,spurious_dependence_rate,0.36707069,0.00228880,640
diversity_coreset_selector,4,tail_failure_rate,0.14865293,0.00075833,640
diversity_coreset_selector,4,damage_rate,0.09225235,0.00044862,640
diversity_coreset_selector,4,selection_cost,0.19385120,0.00051857,640
diversity_coreset_selector,4,regret,0.26436363,0.00124906,640
diversity_coreset_selector,5,success_rate,0.49313151,0.00886058,640
diversity_coreset_selector,5,utility,0.13506773,0.01102702,640
diversity_coreset_selector,5,causal_mechanism_recall,0.46181553,0.00084356,640
diversity_coreset_selector,5,spurious_dependence_rate,0.36728521,0.00228853,640
diversity_coreset_selector,5,tail_failure_rate,0.14830473,0.00075995,640
