method,risk_budget,mean_accepted,ci95_accepted,mean_budget_breach,ci95_budget_breach,mean_fixed_risk_utility,ci95_fixed_risk_utility,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,groups,episodes_per_cell
conformal_shift_guard_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30133817,0.00393765,0.53155599,0.00328459,0.33645479,0.00393168,1600,96
conformal_shift_guard_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30133817,0.00393765,0.53155599,0.00328459,0.33645479,0.00393168,1600,96
counterfactual_pair_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31300552,0.00396938,0.54941406,0.00330258,0.34754756,0.00396312,1600,96
counterfactual_pair_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.31300552,0.00396938,0.54941406,0.00330258,0.34754756,0.00396312,1600,96
diversity_coreset_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06467535,0.00504259,0.36273437,0.00408951,-0.02606297,0.00503465,1600,96
diversity_coreset_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06467535,0.00504259,0.36273437,0.00408951,-0.02606297,0.00503465,1600,96
domain_adversarial_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25691868,0.00404592,0.52466797,0.00337102,0.29233654,0.00403957,1600,96
domain_adversarial_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25691868,0.00404592,0.52466797,0.00337102,0.29233654,0.00403957,1600,96
failure_mining_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04068716,0.00490177,0.38996745,0.00400517,-0.00282050,0.00489427,1600,96
failure_mining_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04068716,0.00490177,0.38996745,0.00400517,-0.00282050,0.00489427,1600,96
foundation_embedding_filter,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19083750,0.00468335,0.48220703,0.00384776,0.22587110,0.00467606,1600,96
foundation_embedding_filter,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19083750,0.00468335,0.48220703,0.00384776,0.22587110,0.00467606,1600,96
influence_function_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14534369,0.00453948,0.46954427,0.00372700,0.18145990,0.00453237,1600,96
influence_function_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14534369,0.00453948,0.46954427,0.00372700,0.18145990,0.00453237,1600,96
interventional_mechanism_value_selector_v5,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.60745744,0.00331452,0.69574870,0.00282194,0.63899663,0.00330946,1600,96
interventional_mechanism_value_selector_v5,0.10000000,0.55812500,0.02434150,0.00000000,0.00000000,0.62498120,0.00379863,0.69574870,0.00282194,0.63899663,0.00330946,1600,96
invariant_risk_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25687783,0.00413189,0.51954427,0.00340495,0.29204091,0.00412488,1600,96
invariant_risk_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25687783,0.00413189,0.51954427,0.00340495,0.29204091,0.00412488,1600,96
label_balanced_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22885043,0.00471120,0.27764974,0.00433967,-0.18888767,0.00470318,1600,96
label_balanced_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22885043,0.00471120,0.27764974,0.00433967,-0.18888767,0.00470318,1600,96
offline_rl_value_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.26403668,0.00428934,0.52505859,0.00353700,0.29885408,0.00428232,1600,96
offline_rl_value_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.26403668,0.00428934,0.52505859,0.00353700,0.29885408,0.00428232,1600,96
oracle_interventional_selector,0.05000000,1.00000000,0.00000000,0.00000000,0.00000000,0.85063148,0.00283203,0.80387370,0.00244889,0.85063148,0.00283203,1600,96
oracle_interventional_selector,0.10000000,1.00000000,0.00000000,0.00000000,0.00000000,0.85063148,0.00283203,0.80387370,0.00244889,0.85063148,0.00283203,1600,96
proposed_causal_mechanism_selector_v4,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42231457,0.00378369,0.60540365,0.00315179,0.45585551,0.00377753,1600,96
proposed_causal_mechanism_selector_v4,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.42231457,0.00378369,0.60540365,0.00315179,0.45585551,0.00377753,1600,96
random_uniform_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29335048,0.00332327,0.22447266,0.00415042,-0.25118876,0.00331584,1600,96
random_uniform_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.29335048,0.00332327,0.22447266,0.00415042,-0.25118876,0.00331584,1600,96
tail_risk_reweighting_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28755999,0.00404639,0.52820964,0.00336721,0.32252608,0.00404006,1600,96
tail_risk_reweighting_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28755999,0.00404639,0.52820964,0.00336721,0.32252608,0.00404006,1600,96
uncertainty_active_selector,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09182864,0.00452050,0.44369141,0.00370893,0.12836681,0.00451337,1600,96
uncertainty_active_selector,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09182864,0.00452050,0.44369141,0.00370893,0.12836681,0.00451337,1600,96
