stress_axis,stress_level,seed,proposed_utility,old_v4_utility,utility_margin,proposed_success,old_v4_success,success_margin
budget_pressure,0,0,0.67767134,0.50441678,0.17325456,0.71875000,0.63750000,0.08125000
budget_pressure,0,1,0.68542211,0.50209931,0.18332280,0.72708333,0.63541667,0.09166667
budget_pressure,0,2,0.70399690,0.50292304,0.20107385,0.74583333,0.63541667,0.11041667
budget_pressure,0,3,0.66103034,0.53205999,0.12897035,0.70625000,0.66458333,0.04166667
budget_pressure,0,4,0.70337249,0.52035830,0.18301419,0.74791667,0.65416667,0.09375000
budget_pressure,0,5,0.68416869,0.50114874,0.18301995,0.72916667,0.63750000,0.09166667
budget_pressure,0,6,0.67748771,0.48868644,0.18880127,0.72291667,0.62291667,0.10000000
budget_pressure,0,7,0.69083400,0.50669522,0.18413879,0.73541667,0.64166667,0.09375000
budget_pressure,0,8,0.66867628,0.51026225,0.15841403,0.71041667,0.64583333,0.06458333
budget_pressure,0,9,0.65609220,0.57586062,0.08023158,0.70000000,0.70416667,-0.00416667
budget_pressure,1,0,0.65908724,0.50859869,0.15048855,0.70625000,0.64583333,0.06041667
budget_pressure,1,1,0.65540569,0.51857849,0.13682720,0.70416667,0.65625000,0.04791667
budget_pressure,1,2,0.69256193,0.47846727,0.21409467,0.73958333,0.61875000,0.12083333
budget_pressure,1,3,0.65478129,0.52380107,0.13098022,0.70625000,0.66250000,0.04375000
budget_pressure,1,4,0.68846243,0.47648926,0.21197318,0.73750000,0.61875000,0.11875000
budget_pressure,1,5,0.69789114,0.53494307,0.16294808,0.74583333,0.67083333,0.07500000
budget_pressure,1,6,0.66869427,0.52209713,0.14659714,0.71875000,0.66041667,0.05833333
budget_pressure,1,7,0.68999269,0.48782840,0.20216429,0.73541667,0.62916667,0.10625000
budget_pressure,1,8,0.65646493,0.52201178,0.13445316,0.70416667,0.65833333,0.04583333
budget_pressure,1,9,0.69673836,0.51641215,0.18032622,0.74166667,0.65416667,0.08750000
budget_pressure,2,0,0.62239392,0.45163197,0.17076195,0.67708333,0.59791667,0.07916667
budget_pressure,2,1,0.64842200,0.41597201,0.23244999,0.70208333,0.56458333,0.13750000
budget_pressure,2,2,0.68853852,0.50804412,0.18049440,0.74166667,0.65208333,0.08958333
budget_pressure,2,3,0.60752009,0.48966554,0.11785455,0.66666667,0.63541667,0.03125000
budget_pressure,2,4,0.62259234,0.50241440,0.12017794,0.67916667,0.64583333,0.03333333
budget_pressure,2,5,0.62677997,0.45960188,0.16717809,0.68333333,0.60625000,0.07708333
budget_pressure,2,6,0.64088123,0.49655341,0.14432782,0.69375000,0.64166667,0.05208333
budget_pressure,2,7,0.65461203,0.48847202,0.16614001,0.70625000,0.63541667,0.07083333
budget_pressure,2,8,0.70156236,0.48507576,0.21648660,0.75000000,0.62916667,0.12083333
budget_pressure,2,9,0.68897828,0.49257380,0.19640448,0.73958333,0.63750000,0.10208333
budget_pressure,3,0,0.61292847,0.44311952,0.16980895,0.67291667,0.59375000,0.07916667
budget_pressure,3,1,0.64056475,0.44332323,0.19724151,0.70000000,0.59583333,0.10416667
budget_pressure,3,2,0.64769809,0.46055478,0.18714331,0.70833333,0.61250000,0.09583333
budget_pressure,3,3,0.64299577,0.46440112,0.17859465,0.70208333,0.61458333,0.08750000
budget_pressure,3,4,0.61379890,0.46671869,0.14708022,0.67500000,0.61666667,0.05833333
budget_pressure,3,5,0.63115915,0.43131227,0.19984688,0.68958333,0.58541667,0.10416667
budget_pressure,3,6,0.60824646,0.47048943,0.13775703,0.66666667,0.62291667,0.04375000
budget_pressure,3,7,0.62403793,0.49380077,0.13023715,0.68125000,0.64166667,0.03958333
budget_pressure,3,8,0.67822285,0.45456051,0.22366233,0.73333333,0.60625000,0.12708333
