method,task,regime,budget,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,large_budget,clean_budget,0.72395833,0.02342733,0.59367756,0.02501173,0.61552366,0.00174707,0.17203085,0.00266731,0.07216194,0.00161123,0.04818598,0.00177433,0.22841672,0.00098332,0.17493966,0.00426087,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,large_budget,combined_stress,0.61354167,0.01862535,0.43937367,0.02035892,0.60104016,0.00178648,0.21132861,0.00253459,0.08779696,0.00128923,0.05645174,0.00163318,0.23050392,0.00170548,0.19293450,0.00350838,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,large_budget,heldout_mechanism,0.66250000,0.03705123,0.50740700,0.03983802,0.60974246,0.00237174,0.19766165,0.00203664,0.08188766,0.00252489,0.05178953,0.00164559,0.22832272,0.00102085,0.18372384,0.00396719,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,large_budget,heldout_object,0.69687500,0.03035156,0.55189391,0.03198165,0.61128276,0.00297763,0.18441005,0.00234174,0.07804805,0.00142710,0.05120507,0.00120123,0.22751792,0.00170948,0.18102702,0.00363920,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,medium_budget,clean_budget,0.71875000,0.03073822,0.58318289,0.03388099,0.61481796,0.00312053,0.17513609,0.00153127,0.07467299,0.00191278,0.04894189,0.00144254,0.23037152,0.00157187,0.17804879,0.00463455,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,medium_budget,combined_stress,0.58437500,0.03019857,0.40605301,0.03341017,0.60144676,0.00296385,0.21418665,0.00267323,0.08765096,0.00157866,0.05731023,0.00142814,0.23549552,0.00170150,0.19749709,0.00448939,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,medium_budget,heldout_mechanism,0.67500000,0.02392615,0.51671141,0.02667617,0.60872666,0.00182589,0.19930049,0.00203859,0.08283414,0.00157462,0.05272962,0.00198632,0.23330192,0.00169363,0.18233800,0.00379057,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,medium_budget,heldout_object,0.71145833,0.02547315,0.56839341,0.02819414,0.61224306,0.00297072,0.18654209,0.00155379,0.07607797,0.00143478,0.04906875,0.00131431,0.23362632,0.00135081,0.17756935,0.00372015,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,small_budget,clean_budget,0.68750000,0.02903349,0.54588796,0.03110238,0.61264906,0.00274690,0.17729789,0.00152001,0.07596344,0.00226695,0.05105573,0.00104737,0.23609272,0.00098332,0.18134675,0.00358933,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,small_budget,combined_stress,0.57395833,0.03125373,0.39161594,0.03406834,0.60096696,0.00310322,0.21659565,0.00253459,0.08929100,0.00122169,0.05763849,0.00111040,0.24138152,0.00170548,0.19846559,0.00383366,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,small_budget,heldout_mechanism,0.64375000,0.02718817,0.47933979,0.02830441,0.60546716,0.00181275,0.19932689,0.00157631,0.08502104,0.00145781,0.05423561,0.00154294,0.23920032,0.00177327,0.18785979,0.00359449,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,small_budget,heldout_object,0.66354167,0.02756880,0.51379368,0.02780735,0.61120956,0.00297763,0.18727589,0.00154253,0.07926335,0.00086130,0.05061858,0.00088730,0.23839552,0.00170948,0.18368233,0.00275668,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,tiny_budget,clean_budget,0.69791667,0.03118697,0.55627785,0.03255318,0.61175316,0.00173394,0.17856881,0.00235122,0.07504323,0.00174541,0.04986829,0.00146128,0.24359832,0.00134699,0.17938556,0.00276851,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,tiny_budget,combined_stress,0.56666667,0.03121666,0.37918543,0.03441042,0.60035946,0.00311186,0.21931437,0.00234174,0.09152307,0.00173992,0.05875060,0.00153621,0.24665072,0.00181359,0.20007865,0.00481434,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,tiny_budget,heldout_mechanism,0.58958333,0.03525777,0.41896396,0.03738801,0.60348066,0.00179962,0.19966301,0.00156505,0.08698041,0.00201996,0.05614462,0.00158660,0.24448192,0.00170150,0.19404443,0.00381384,10,96
conformal_shift_guard_selector,contact_grasp_policy,color_mechanism_confound,tiny_budget,heldout_object,0.67604167,0.03019857,0.52121871,0.03086035,0.60864766,0.00316454,0.18952001,0.00153127,0.08136763,0.00103855,0.05184223,0.00098908,0.24414872,0.00181888,0.18357455,0.00324674,10,96
conformal_shift_guard_selector,contact_grasp_policy,compound_spurious_shift,large_budget,clean_budget,0.67083333,0.04506080,0.50682651,0.04792069,0.59819330,0.00236043,0.20358692,0.00255822,0.08479130,0.00140215,0.05280744,0.00157509,0.23059000,0.00182952,0.18309116,0.00527768,10,96
conformal_shift_guard_selector,contact_grasp_policy,compound_spurious_shift,large_budget,combined_stress,0.54895833,0.01852562,0.34178969,0.01948192,0.58259750,0.00177335,0.24313188,0.00234174,0.09774266,0.00174899,0.06208808,0.00184039,0.23284200,0.00099833,0.20256159,0.00331744,10,96
